microtrait_trait-name	microtrait_trait-displaynameshort	microtrait_trait-displaynamelong	microtrait_trait-strategy	microtrait_trait-type	microtrait_trait-granularity	microtrait_trait-version	microtrait_trait-displayorder
Resource Acquisition:Substrate uptake:carbohydrate transport:polysaccharide transport	Polysaccharide transport	Resource Acquisition:Substrate uptake:carbohydrate transport:polysaccharide transport	Resource Acquisition	count	3	production	12
Resource Acquisition:Substrate uptake:carbohydrate transport:sugar alcohol transport	Sugar alcohol transport	Resource Acquisition:Substrate uptake:carbohydrate transport:sugar alcohol transport	Resource Acquisition	count	3	production	13
Resource Acquisition:Substrate uptake:carboxylate transport:dicarboxylate transport	Dicarboxylate transport	Resource Acquisition:Substrate uptake:carboxylate transport:dicarboxylate transport	Resource Acquisition	count	3	production	14
Resource Acquisition:Substrate uptake:carboxylate transport:monocarboxylate transport	Monocarboxylate transport	Resource Acquisition:Substrate uptake:carboxylate transport:monocarboxylate transport	Resource Acquisition	count	3	production	15
Resource Acquisition:Substrate uptake:carboxylate transport:tricarboxylate transport	Tricarboxylate transport	Resource Acquisition:Substrate uptake:carboxylate transport:tricarboxylate transport	Resource Acquisition	count	3	production	16
Resource Acquisition:Substrate uptake:free amino acids transport	Free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition	count	3	production	17
Resource Acquisition:Substrate uptake:ion transport:inorganic ion transport	Inorganic ion transport	Resource Acquisition:Substrate uptake:ion transport:inorganic ion transport	Resource Acquisition	count	3	production	18
Resource Acquisition:Substrate uptake:ion transport:metal ion transport	Metal ion transport	Resource Acquisition:Substrate uptake:ion transport:metal ion transport	Resource Acquisition	count	3	production	19
Resource Acquisition:Substrate uptake:lipid transport	Lipid transport	Resource Acquisition:Substrate uptake:lipid transport	Resource Acquisition	count	3	production	20
Resource Acquisition:Substrate uptake:lipid transport:cell membrane lipid transport	Cell membrane lipid transport	Resource Acquisition:Substrate uptake:lipid transport:cell membrane lipid transport	Resource Acquisition	count	3	production	21
Resource Acquisition:Substrate uptake:lipid transport:lipid precursor transport	Lipid precursor transport	Resource Acquisition:Substrate uptake:lipid transport:lipid precursor transport	Resource Acquisition	count	3	production	22
Resource Acquisition:Substrate uptake:N compound transport:amide transport	Amide transport	Resource Acquisition:Substrate uptake:N compound transport:amide transport	Resource Acquisition	count	3	production	23
Resource Acquisition:Substrate uptake:N compound transport:ammonium transport	Ammonium transport	Resource Acquisition:Substrate uptake:N compound transport:ammonium transport	Resource Acquisition	count	3	production	24
Resource Acquisition:Substrate uptake:N compound transport:nitrate transport	Nitrate transport	Resource Acquisition:Substrate uptake:N compound transport:nitrate transport	Resource Acquisition	count	3	production	25
Resource Acquisition:Substrate uptake:N compound transport:nitrite transport	Nitrite transport	Resource Acquisition:Substrate uptake:N compound transport:nitrite transport	Resource Acquisition	count	3	production	26
Resource Acquisition:Substrate uptake:N compound transport:nitrogen transport	Nitrogen transport	Resource Acquisition:Substrate uptake:N compound transport:nitrogen transport	Resource Acquisition	count	3	production	27
Resource Acquisition:Substrate uptake:N compound transport:urea transport	Urea transport	Resource Acquisition:Substrate uptake:N compound transport:urea transport	Resource Acquisition	count	3	production	28
Resource Acquisition:Substrate uptake:N compound transport:uric acid transport	Uric acid transport	Resource Acquisition:Substrate uptake:N compound transport:uric acid transport	Resource Acquisition	count	3	production	29
Resource Acquisition:Substrate uptake:nucleic acid component transport:nucleobase transport	Nucleobase transport	Resource Acquisition:Substrate uptake:nucleic acid component transport:nucleobase transport	Resource Acquisition	count	3	production	30
Resource Acquisition:Substrate uptake:nucleic acid component transport:nucleoside transport	Nucleoside transport	Resource Acquisition:Substrate uptake:nucleic acid component transport:nucleoside transport	Resource Acquisition	count	3	production	31
Resource Acquisition:Substrate uptake:nucleic acid component transport:nucleotide transport	Nucleotide transport	Resource Acquisition:Substrate uptake:nucleic acid component transport:nucleotide transport	Resource Acquisition	count	3	production	32
Resource Acquisition:Substrate uptake:nucleic acid component transport:ribonucleoside transport	Ribonucleoside transport	Resource Acquisition:Substrate uptake:nucleic acid component transport:ribonucleoside transport	Resource Acquisition	count	3	production	33
Resource Acquisition:Substrate uptake:organophosphorus compound transport	Organophosphorus compound transport	Resource Acquisition:Substrate uptake:organophosphorus compound transport	Resource Acquisition	count	3	production	34
Resource Acquisition:Substrate uptake:osmolyte transport	Osmolyte transport	Resource Acquisition:Substrate uptake:osmolyte transport	Resource Acquisition	count	3	production	35
Resource Acquisition:Substrate uptake:other transport	Other transport	Resource Acquisition:Substrate uptake:other transport	Resource Acquisition	count	3	production	36
Resource Acquisition:Substrate uptake:peptide transport	Peptide transport	Resource Acquisition:Substrate uptake:peptide transport	Resource Acquisition	count	3	production	37
Resource Acquisition:Substrate uptake:S compound transport	S compound transport	Resource Acquisition:Substrate uptake:S compound transport	Resource Acquisition	count	3	production	38
Resource Acquisition:Substrate uptake:secondary metabolite transport:siderophore-based transport	Siderophore-based transport	Resource Acquisition:Substrate uptake:secondary metabolite transport:siderophore-based transport	Resource Acquisition	count	3	production	39
Resource Acquisition:Substrate uptake:vitamin transport:vitamin B transport	Vitamin B transport	Resource Acquisition:Substrate uptake:vitamin transport:vitamin B transport	Resource Acquisition	count	3	production	40
Resource Acquisition:Substrate uptake:vitamin transport:vitamin C transport	Vitamin C transport	Resource Acquisition:Substrate uptake:vitamin transport:vitamin C transport	Resource Acquisition	count	3	production	41
Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:cellulose breakdown	Complex carbohydrate depolymerization by cellulose breakdown	Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:cellulose breakdown	Resource Acquisition	count	3	production	42
Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:chitin breakdown	Complex carbohydrate depolymerization by chitin breakdown	Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:chitin breakdown	Resource Acquisition	count	3	production	43
Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:heteromannan breakdown	Complex carbohydrate depolymerization by heteromannan breakdown	Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:heteromannan breakdown	Resource Acquisition	count	3	production	44
Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:mixed linkage glucan breakdown	Complex carbohydrate depolymerization by mixed linkage glucan breakdown	Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:mixed linkage glucan breakdown	Resource Acquisition	count	3	production	45
Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:xylan and heteroxylan breakdown	Complex carbohydrate depolymerization by xylan and heteroxylan breakdown	Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:xylan and heteroxylan breakdown	Resource Acquisition	count	3	production	46
Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:xyloglucan breakdown	Complex carbohydrate depolymerization by xyloglucan breakdown	Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:xyloglucan breakdown	Resource Acquisition	count	3	production	47
Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition	count	3	production	48
Resource Acquisition:Substrate degradation:simple compound degradation:carbohydrate degradation:ED pathway	Carbohydrate degradation with ED pathway	Resource Acquisition:Substrate degradation:simple compound degradation:carbohydrate degradation:ED pathway	Resource Acquisition	binary	3	production	49
Resource Acquisition:Substrate degradation:simple compound degradation:carbohydrate degradation:EMP pathway	Carbohydrate degradation with EMP pathway	Resource Acquisition:Substrate degradation:simple compound degradation:carbohydrate degradation:EMP pathway	Resource Acquisition	binary	3	production	50
Resource Acquisition:Substrate degradation:simple compound degradation:carbohydrate degradation:fructose degradation	Carbohydrate degradation by fructose degradation	Resource Acquisition:Substrate degradation:simple compound degradation:carbohydrate degradation:fructose degradation	Resource Acquisition	binary	3	production	51
Resource Acquisition:Substrate degradation:simple compound degradation:carbohydrate degradation:fucose degradation	Carbohydrate degradation by fucose degradation	Resource Acquisition:Substrate degradation:simple compound degradation:carbohydrate degradation:fucose degradation	Resource Acquisition	binary	3	production	52
Resource Acquisition:Substrate degradation:simple compound degradation:carbohydrate degradation:maltose degradation	Carbohydrate degradation by maltose degradation	Resource Acquisition:Substrate degradation:simple compound degradation:carbohydrate degradation:maltose degradation	Resource Acquisition	binary	3	production	53
Resource Acquisition:Substrate degradation:simple compound degradation:carbohydrate degradation:galactose degradation	Carbohydrate degradation by galactose degradation	Resource Acquisition:Substrate degradation:simple compound degradation:carbohydrate degradation:galactose degradation	Resource Acquisition	binary	3	production	54
Resource Acquisition:Substrate degradation:simple compound degradation:carbohydrate degradation:mannose degradation	Carbohydrate degradation by mannose degradation	Resource Acquisition:Substrate degradation:simple compound degradation:carbohydrate degradation:mannose degradation	Resource Acquisition	binary	3	production	55
Resource Acquisition:Substrate degradation:simple compound degradation:carbohydrate degradation:trehalose degradation	Carbohydrate degradation by trehalose degradation	Resource Acquisition:Substrate degradation:simple compound degradation:carbohydrate degradation:trehalose degradation	Resource Acquisition	binary	3	production	56
Resource Acquisition:Substrate degradation:simple compound degradation:sugar acid degradation:galacturonate degradation	Sugar acid degradation by galacturonate degradation	Resource Acquisition:Substrate degradation:simple compound degradation:sugar acid degradation:galacturonate degradation	Resource Acquisition	binary	3	production	57
Resource Acquisition:Substrate degradation:simple compound degradation:sugar acid degradation:glucuronate degradation	Sugar acid degradation by glucuronate degradation	Resource Acquisition:Substrate degradation:simple compound degradation:sugar acid degradation:glucuronate degradation	Resource Acquisition	binary	3	production	58
Resource Acquisition:Substrate degradation:simple compound degradation:alcohol degradation:glycerol degradation	Alcohol degradation by glycerol degradation	Resource Acquisition:Substrate degradation:simple compound degradation:alcohol degradation:glycerol degradation	Resource Acquisition	binary	3	production	59
Resource Acquisition:Substrate degradation:simple compound degradation:phenol degradation:resorcinol degradation	Phenol degradation by resorcinol degradation	Resource Acquisition:Substrate degradation:simple compound degradation:phenol degradation:resorcinol degradation	Resource Acquisition	binary	3	production	60
Resource Acquisition:Substrate assimilation:C1 compounds:CO2 fixation:Calvin Cycle	Substrate Assimilation of C1 compounds by CO2 fixation with Calvin Cycle	Resource Acquisition:Substrate assimilation:C1 compounds:CO2 fixation:Calvin Cycle	Resource Acquisition	binary	3	production	61
Resource Acquisition:Substrate assimilation:C1 compounds:CO2 fixation:3-hydroxypropionate pathway	Substrate Assimilation of C1 compounds by CO2 fixation with 3-hydroxypropionate pathway	Resource Acquisition:Substrate assimilation:C1 compounds:CO2 fixation:3-hydroxypropionate pathway	Resource Acquisition	binary	3	production	62
Resource Acquisition:Substrate assimilation:C1 compounds:CO2 fixation:3-hydroxypropionate/4-hydroxybutyrate pathway	Substrate Assimilation of C1 compounds by CO2 fixation with 3-hydroxypropionate/4-hydroxybutyrate pathway	Resource Acquisition:Substrate assimilation:C1 compounds:CO2 fixation:3-hydroxypropionate/4-hydroxybutyrate pathway	Resource Acquisition	binary	3	production	63
Resource Acquisition:Substrate assimilation:C1 compounds:CO2 fixation:dicarboxylate-hydroxybutyrate pathway	Substrate Assimilation of C1 compounds by CO2 fixation with dicarboxylate-hydroxybutyrate pathway	Resource Acquisition:Substrate assimilation:C1 compounds:CO2 fixation:dicarboxylate-hydroxybutyrate pathway	Resource Acquisition	binary	3	production	64
Resource Acquisition:Substrate assimilation:C1 compounds:CO2 fixation:reductive acetyl-CoA pathway	Substrate Assimilation of C1 compounds by CO2 fixation with reductive acetyl-CoA pathway	Resource Acquisition:Substrate assimilation:C1 compounds:CO2 fixation:reductive acetyl-CoA pathway	Resource Acquisition	binary	3	production	65
Resource Acquisition:Substrate assimilation:C1 compounds:CO2 fixation:reductive citric acid pathway	Substrate Assimilation of C1 compounds by CO2 fixation with reductive citric acid pathway	Resource Acquisition:Substrate assimilation:C1 compounds:CO2 fixation:reductive citric acid pathway	Resource Acquisition	binary	3	production	66
Resource Acquisition:Substrate assimilation:C1 compounds:CO2 fixation:carboxysome	Substrate Assimilation of C1 compounds by CO2 fixation with carboxysome	Resource Acquisition:Substrate assimilation:C1 compounds:CO2 fixation:carboxysome	Resource Acquisition	binary	3	production	67
Resource Acquisition:Substrate assimilation:C1 compounds:methanotrophy:formaldehyde oxidation pathway	Substrate Assimilation of C1 compounds by methanotrophy with formaldehyde oxidation pathway	Resource Acquisition:Substrate assimilation:C1 compounds:methanotrophy:formaldehyde oxidation pathway	Resource Acquisition	binary	3	production	68
Resource Acquisition:Substrate assimilation:C1 compounds:methanotrophy:methane oxidation pathway	Substrate Assimilation of C1 compounds by methanotrophy with methane oxidation pathway	Resource Acquisition:Substrate assimilation:C1 compounds:methanotrophy:methane oxidation pathway	Resource Acquisition	binary	3	production	69
Resource Acquisition:Substrate assimilation:C1 compounds:methanotrophy:methanol oxidation pathway	Substrate Assimilation of C1 compounds by methanotrophy with methanol oxidation pathway	Resource Acquisition:Substrate assimilation:C1 compounds:methanotrophy:methanol oxidation pathway	Resource Acquisition	binary	3	production	70
Resource Acquisition:Substrate assimilation:C1 compounds:methanotrophy:formaldehyde assimilation with serine pathway	Substrate Assimilation of C1 compounds by methanotrophy with formaldehyde assimilation with serine pathway	Resource Acquisition:Substrate assimilation:C1 compounds:methanotrophy:formaldehyde assimilation with serine pathway	Resource Acquisition	binary	3	production	71
Resource Acquisition:Substrate assimilation:C1 compounds:methanotrophy:formaldehyde assimilation with RuMP pathway	Substrate Assimilation of C1 compounds by methanotrophy with formaldehyde assimilation with RuMP pathway	Resource Acquisition:Substrate assimilation:C1 compounds:methanotrophy:formaldehyde assimilation with RuMP pathway	Resource Acquisition	binary	3	production	72
Resource Acquisition:Substrate assimilation:C1 compounds:methanotrophy:PHB cycle	Substrate Assimilation of C1 compounds by methanotrophy with PHB cycle	Resource Acquisition:Substrate assimilation:C1 compounds:methanotrophy:PHB cycle	Resource Acquisition	binary	3	production	73
Resource Acquisition:Substrate assimilation:C1 compounds:methanotrophy:H4MPT pathway	Substrate Assimilation of C1 compounds by methanotrophy with H4MPT pathway	Resource Acquisition:Substrate assimilation:C1 compounds:methanotrophy:H4MPT pathway	Resource Acquisition	binary	3	production	74
Resource Acquisition:Substrate assimilation:C1 compounds:methanotrophy:H4F pathway	Substrate Assimilation of C1 compounds by methanotrophy with H4F pathway	Resource Acquisition:Substrate assimilation:C1 compounds:methanotrophy:H4F pathway	Resource Acquisition	binary	3	production	75
Resource Acquisition:Substrate assimilation:N compounds:assimilatory nitrate reduction	Substrate Assimilation of N compounds by assimilatory nitrate reduction	Resource Acquisition:Substrate assimilation:N compounds:assimilatory nitrate reduction	Resource Acquisition	binary	3	production	76
Resource Acquisition:Substrate assimilation:N compounds:nitrogen fixation	Substrate Assimilation of N compounds by nitrogen fixation	Resource Acquisition:Substrate assimilation:N compounds:nitrogen fixation	Resource Acquisition	binary	3	production	77
Resource Acquisition:Substrate assimilation:N compounds:ammonia assimilation to aspartate	Substrate Assimilation of N compounds by ammonia assimilation to aspartate	Resource Acquisition:Substrate assimilation:N compounds:ammonia assimilation to aspartate	Resource Acquisition	binary	3	production	78
Resource Acquisition:Substrate assimilation:N compounds:ammonia assimilation to glutamate	Substrate Assimilation of N compounds by ammonia assimilation to glutamate	Resource Acquisition:Substrate assimilation:N compounds:ammonia assimilation to glutamate	Resource Acquisition	binary	3	production	79
Resource Acquisition:Substrate assimilation:N compounds:ammonia assimilation to glutamine	Substrate Assimilation of N compounds by ammonia assimilation to glutamine	Resource Acquisition:Substrate assimilation:N compounds:ammonia assimilation to glutamine	Resource Acquisition	binary	3	production	80
Resource Acquisition:Substrate assimilation:S compounds:assimilatory sulfate reduction	Substrate Assimilation of S compounds by assimilatory sulfate reduction	Resource Acquisition:Substrate assimilation:S compounds:assimilatory sulfate reduction	Resource Acquisition	binary	3	production	81
Resource Acquisition:Substrate assimilation:P compounds:phytase	Substrate Assimilation of P compounds with phytase	Resource Acquisition:Substrate assimilation:P compounds:phytase	Resource Acquisition	binary	3	production	82
Resource Acquisition:Substrate assimilation:P compounds:phosphatase	Substrate Assimilation of P compounds with phosphatase	Resource Acquisition:Substrate assimilation:P compounds:phosphatase	Resource Acquisition	binary	3	production	83
Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation of pyruvate to acetone	Fermentation of pyruvate to acetone	Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation of pyruvate to acetone	Resource Use	binary	3	production	84
Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation of pyruvate to lactate and ethanol	Fermentation of pyruvate to lactate and ethanol	Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation of pyruvate to lactate and ethanol	Resource Use	binary	3	production	85
Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation of pyruvate to alcohols	Fermentation of pyruvate to alcohols	Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation of pyruvate to alcohols	Resource Use	binary	3	production	86
Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation of pyruvate to SCFAs	Fermentation of pyruvate to SCFAs	Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation of pyruvate to SCFAs	Resource Use	binary	3	production	87
Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation of pyruvate to butylene glycol	Fermentation of pyruvate to butylene glycol	Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation of pyruvate to butylene glycol	Resource Use	binary	3	production	88
Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation of pyruvate to isobutanol	Fermentation of pyruvate to isobutanol	Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation of pyruvate to isobutanol	Resource Use	binary	3	production	89
Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation of acetylene to acetate	Fermentation of acetylene to acetate	Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation of acetylene to acetate	Resource Use	binary	3	production	90
Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation of acetylene to acetate and ethanol	Fermentation of acetylene to acetate and ethanol	Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation of acetylene to acetate and ethanol	Resource Use	binary	3	production	91
Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration:oxidative pentose phosphate pathway	Aerobic respiration:oxidative pentose phosphate pathway	Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration:oxidative pentose phosphate pathway	Resource Use	binary	3	production	92
Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration:nonoxidative pentose phosphate pathway	Aerobic respiration:nonoxidative pentose phosphate pathway	Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration:nonoxidative pentose phosphate pathway	Resource Use	binary	3	production	93
Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration:glyoxylate cycle	Aerobic respiration:glyoxylate cycle	Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration:glyoxylate cycle	Resource Use	binary	3	production	94
Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration:TCA cycle	Aerobic respiration:TCA cycle	Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration:TCA cycle	Resource Use	binary	3	production	95
Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration:electron transport chain: ETC complex I	Aerobic respiration:electron transport chain: ETC complex I	Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration:electron transport chain: ETC complex I	Resource Use	binary	3	production	96
Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration:electron transport chain: ETC complex II	Aerobic respiration:electron transport chain: ETC complex II	Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration:electron transport chain: ETC complex II	Resource Use	binary	3	production	97
Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration:electron transport chain: ETC complex III	Aerobic respiration:electron transport chain: ETC complex III	Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration:electron transport chain: ETC complex III	Resource Use	binary	3	production	98
Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration:electron transport chain: ETC complex IV	Aerobic respiration:electron transport chain: ETC complex IV	Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration:electron transport chain: ETC complex IV	Resource Use	binary	3	production	99
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:N (denitrification):denitrification to nitrite	Denitrification to nitrite	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:N (denitrification):denitrification to nitrite	Resource Use	binary	3	production	100
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:N (denitrification):denitrification to nitric oxide	Denitrification to nitric oxide	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:N (denitrification):denitrification to nitric oxide	Resource Use	binary	3	production	101
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:N (denitrification):denitrification to nitrous oxide	Denitrification to nitrous oxide	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:N (denitrification):denitrification to nitrous oxide	Resource Use	binary	3	production	102
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:N (denitrification):denitrification to nitrogen	Denitrification to nitrogen	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:N (denitrification):denitrification to nitrogen	Resource Use	binary	3	production	103
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:S as terminal electron acceptor:sulfur	Sulfur respiration	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:S as terminal electron acceptor:sulfur	Resource Use	binary	3	production	104
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:S as terminal electron acceptor:sulfate	Sulfate respiration	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:S as terminal electron acceptor:sulfate	Resource Use	binary	3	production	105
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:S as terminal electron acceptor:sulfite	Sulfite respiration	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:S as terminal electron acceptor:sulfite	Resource Use	binary	3	production	106
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:S as terminal electron acceptor:DMSO	DMSO respiration	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:S as terminal electron acceptor:DMSO	Resource Use	binary	3	production	107
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:S as terminal electron acceptor:DMSP	DMSP respiration	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:S as terminal electron acceptor:DMSP	Resource Use	binary	3	production	108
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:S as terminal electron acceptor:thiosulfate	Thiosulfate respiration	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:S as terminal electron acceptor:thiosulfate	Resource Use	binary	3	production	109
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:S as terminal electron acceptor:tetrathionate	Tetrathionate respiration	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:S as terminal electron acceptor:tetrathionate	Resource Use	binary	3	production	110
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:Fe as terminal electron acceptor:ferric ion	Ferric ion respiration	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:Fe as terminal electron acceptor:ferric ion	Resource Use	binary	3	production	111
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:As as terminal electron acceptor:arsenate	Arsenate respiration	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:As as terminal electron acceptor:arsenate	Resource Use	binary	3	production	112
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:Se as terminal electron acceptor:selenate	Selenate respiration	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:Se as terminal electron acceptor:selenate	Resource Use	binary	3	production	113
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:hydrogenotrophic methanogenesis	Hydrogenotrophic methanogenesis	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:hydrogenotrophic methanogenesis	Resource Use	binary	3	production	114
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:acetoclastic methanogenesis	Acetoclastic methanogenesis	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:acetoclastic methanogenesis	Resource Use	binary	3	production	115
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:methylotrophic methanogenesis:from methanethiol	Methylotrophic methanogenesis from methanethiol	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:methylotrophic methanogenesis:from methanethiol	Resource Use	binary	3	production	116
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:methylotrophic methanogenesis:from methanol	Methylotrophic methanogenesis from methanol	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:methylotrophic methanogenesis:from methanol	Resource Use	binary	3	production	117
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:methylotrophic methanogenesis:from TMAO	Methylotrophic methanogenesis from TMAO	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:methylotrophic methanogenesis:from TMAO	Resource Use	binary	3	production	118
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:methylotrophic methanogenesis:from monomethylamine	Methylotrophic methanogenesis from monomethylamine	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:methylotrophic methanogenesis:from monomethylamine	Resource Use	binary	3	production	119
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:methylotrophic methanogenesis:from dimethylamine	Methylotrophic methanogenesis from dimethylamine	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:methylotrophic methanogenesis:from dimethylamine	Resource Use	binary	3	production	120
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:methylotrophic methanogenesis:from trimethylamine	Methylotrophic methanogenesis from trimethylamine	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:methylotrophic methanogenesis:from trimethylamine	Resource Use	binary	3	production	121
Resource Use:Chemotrophy:chemolithoautotrophy:anaerobic ammonia oxidation	Anaerobic ammonia oxidation	Resource Use:Chemotrophy:chemolithoautotrophy:anaerobic ammonia oxidation	Resource Use	binary	3	production	122
Resource Use:Chemotrophy:chemolithoautotrophy:aerobic ammonia oxidation	Aerobic ammonia oxidation	Resource Use:Chemotrophy:chemolithoautotrophy:aerobic ammonia oxidation	Resource Use	binary	3	production	123
Resource Use:Chemotrophy:chemolithoautotrophy:nitrite oxidation	Nitrite oxidation	Resource Use:Chemotrophy:chemolithoautotrophy:nitrite oxidation	Resource Use	binary	3	production	124
Resource Use:Chemotrophy:chemolithoautotrophy:sulfide oxidation	Sulfide oxidation	Resource Use:Chemotrophy:chemolithoautotrophy:sulfide oxidation	Resource Use	binary	3	production	125
Resource Use:Chemotrophy:chemolithoautotrophy:sulfur oxidation	Sulfur oxidation	Resource Use:Chemotrophy:chemolithoautotrophy:sulfur oxidation	Resource Use	binary	3	production	126
Resource Use:Chemotrophy:chemolithoautotrophy:sulfite oxidation	Sulfite oxidation	Resource Use:Chemotrophy:chemolithoautotrophy:sulfite oxidation	Resource Use	binary	3	production	127
Resource Use:Chemotrophy:chemolithoautotrophy:thiosulfate oxidation	Thiosulfate oxidation	Resource Use:Chemotrophy:chemolithoautotrophy:thiosulfate oxidation	Resource Use	binary	3	production	128
Resource Use:Chemotrophy:chemolithoautotrophy:iron oxidation	Iron oxidation	Resource Use:Chemotrophy:chemolithoautotrophy:iron oxidation	Resource Use	binary	3	production	129
Resource Use:Chemotrophy:chemolithoautotrophy:hydrogenotrophy from H2/CO2	Hydrogenotrophy from H2/CO2	Resource Use:Chemotrophy:chemolithoautotrophy:hydrogenotrophy from H2/CO2	Resource Use	binary	3	production	130
