faprotax_taxa	ncbi_taxa	rank
Pseudozobellia thermophila	Pseudozobellia thermophila	species
Psychrobacter proteolyticus	Psychrobacter proteolyticus	species
Psychromonas kaikoae	Psychromonas kaikoae	species
Psychromonas marina	Psychromonas marina	species
Psychromonas profunda	Psychromonas profunda	species
Psychroserpens burtonensis	Psychroserpens burtonensis	species
Psychrosinus fermentans	Psychrosinus fermentans	species
Pullulanibacillus uraniitolerans	Pullulanibacillus uraniitolerans	species
Pyrinomonas methylaliphatogenes	Pyrinomonas methylaliphatogenes	species
Pyrobaculum aerophilum	Pyrobaculum aerophilum	species
Pyrobaculum arsenaticum	Pyrobaculum arsenaticum	species
Pyrobaculum ferrireducens	Pyrobaculum ferrireducens	species
Pyrobaculum islandicum	Pyrobaculum islandicum	species
Pyrobaculum organotrophum	Pyrobaculum organotrophum	species
Pyrococcus furiosus	Pyrococcus furiosus	species
Pyrodictium abyssi	Pyrodictium abyssi	species
Ralstonia pickettii	Ralstonia pickettii	species
Ralstonia solanacearum	Ralstonia solanacearum	species
Ralstonia syzygii	Ralstonia syzygii	species
Raoultella ornithinolytica	Raoultella ornithinolytica	species
Rathayibacter iranicus	Rathayibacter iranicus	species
Rathayibacter rathayi	Rathayibacter rathayi	species
Rathayibacter tritici	Rathayibacter tritici	species
Rhabdothermus arcticus	Rhabdothermus arcticus	species
Rheinheimera aquimaris	Rheinheimera aquimaris	species
Rheinheimera baltica	Rheinheimera baltica	species
Rheinheimera pacifica	Rheinheimera pacifica	species
Rheinheimera perlucida	Rheinheimera perlucida	species
Rhizobium azibense	Rhizobium azibense	species
Rhizobium etli	Rhizobium etli	species
Rhizobium gallicum	Rhizobium gallicum	species
Rhizobium giardinii	Rhizobium giardinii	species
Rhizobium hainanense	Rhizobium hainanense	species
Rhizobium herbae	Rhizobium herbae	species
Rhizobium leguminosarum	Rhizobium leguminosarum	species
Rhizobium mongolense	Rhizobium mongolense	species
Rhizobium tropici	Rhizobium tropici	species
Rhizomicrobium electricum	Rhizomicrobium electricum	species
Rhizomicrobium palustre	Rhizomicrobium palustre	species
Rhodanobacter thiooxydans	Rhodanobacter thiooxydans	species
Rhodobacter blasticus	Rhodobacter blasticus	species
Rhodobacter capsulatus	Rhodobacter capsulatus	species
Rhodobacter sp. CR07-8	Rhodobacter sp. CR07-8	species
Rhodobium orientis	Rhodobium orientis	species
Rhodoblastus acidophilus	Rhodoblastus acidophilus	species
Rhodococcus aetherivorans	Rhodococcus aetherivorans	species
Rhodococcus baikonurensis	Rhodococcus baikonurensis	species
Rhodococcus coprophilus	Rhodococcus coprophilus	species
Rhodococcus erythropolis	Rhodococcus erythropolis	species
Rhodococcus fascians	Rhodococcus fascians	species
Rhodococcus globerulus	Rhodococcus globerulus	species
Rhodococcus gordoniae	Rhodococcus gordoniae	species
Rhodococcus imtechensis	Rhodococcus imtechensis	species
Rhodococcus jostii	Rhodococcus jostii	species
Rhodococcus jostii RHA1	Rhodococcus jostii RHA1	species
Rhodococcus koreensis	Rhodococcus koreensis	species
Rhodococcus kroppenstedtii	Rhodococcus kroppenstedtii	species
Rhodococcus kyotonensis	Rhodococcus kyotonensis	species
Rhodococcus maanshanensis	Rhodococcus maanshanensis	species
Rhodococcus opacus	Rhodococcus opacus	species
Rhodococcus percolatus	Rhodococcus percolatus	species
Rhodococcus phenolicus	Rhodococcus phenolicus	species
Rhodococcus pyridinivorans	Rhodococcus pyridinivorans	species
Rhodococcus qingshengii	Rhodococcus qingshengii	species
Rhodococcus rhodnii	Rhodococcus rhodnii	species
Rhodococcus rhodochrous	Rhodococcus rhodochrous	species
Rhodococcus ruber	Rhodococcus ruber	species
Rhodococcus tukisamuensis	Rhodococcus tukisamuensis	species
Rhodococcus wratislaviensis	Rhodococcus wratislaviensis	species
Rhodococcus zopfii	Rhodococcus zopfii	species
Rhodocyclus purpureus	Rhodocyclus purpureus	species
Rhodocyclus tenuis	Rhodocyclus tenuis	species
Rhodoferax antarcticus	Rhodoferax antarcticus	species
Rhodoferax fermentans	Rhodoferax fermentans	species
Rhodoferax ferrireducens	Rhodoferax ferrireducens	species
Rhodomicrobium udaipurense	Rhodomicrobium udaipurense	species
Rhodomicrobium vannielii	Rhodomicrobium vannielii	species
Rhodonellum psychrophilum	Rhodonellum psychrophilum	species
Rhodopila globiformis	Rhodopila globiformis	species
Rhodoplanes elegans	Rhodoplanes elegans	species
Rhodoplanes roseus	Rhodoplanes roseus	species
Rhodopseudomonas julia	Rhodopseudomonas julia	species
Rhodopseudomonas palustris	Rhodopseudomonas palustris	species
Rhodopseudomonas rhenobacensis	Rhodopseudomonas rhenobacensis	species
Rhodospirillum rubrum	Rhodospirillum rubrum	species
Rhodothermus marinus	Rhodothermus marinus	species
Rhodovastum atsumiense	Rhodovastum atsumiense	species
Rhodovulum adriaticum	Rhodovulum adriaticum	species
Rhodovulum euryhalinum	Rhodovulum euryhalinum	species
Rhodovulum imhoffii	Rhodovulum imhoffii	species
Rhodovulum iodosum	Rhodovulum iodosum	species
Rhodovulum marinum	Rhodovulum marinum	species
Rhodovulum robiginosum	Rhodovulum robiginosum	species
Rhodovulum strictum	Rhodovulum strictum	species
Rhodovulum sulfidophilum	Rhodovulum sulfidophilum	species
Rhodovulum tesquicola	Rhodovulum tesquicola	species
Rickettsiella tipulae	Rickettsiella tipulae	species
Roseateles depolymerans	Roseateles depolymerans	species
Roseburia hominis	Roseburia hominis	species
Roseburia intestinalis	Roseburia intestinalis	species
Roseburia inulinivorans	Roseburia inulinivorans	species
Roseibacterium elongatum	Roseibacterium elongatum	species
Roseibium denhamense	Roseibium denhamense	species
Roseicyclus mahoneyensis	Roseicyclus mahoneyensis	species
Roseinatronobacter thiooxidans	Roseinatronobacter thiooxidans	species
Roseisalinus antarcticus	Roseisalinus antarcticus	species
Roseivirga	Roseivirga	genus
Roseivivax halodurans	Roseivivax halodurans	species
Roseivivax halotolerans	Roseivivax halotolerans	species
Roseobacter denitrificans	Roseobacter denitrificans	species
Roseobacter litoralis	Roseobacter litoralis	species
Roseobacter sp. AzwK-3b	Roseobacter sp. AzwK-3b	species
Roseococcus thiosulfatophilus	Roseococcus thiosulfatophilus	species
Roseospira mediosalina	Roseospira mediosalina	species
Roseovarius mucosus	Roseovarius mucosus	species
Roseovarius tolerans	Roseovarius tolerans	species
Rothia amarae	Rothia amarae	species
Rothia dentocariosa	Rothia dentocariosa	species
Rothia mucilaginosa	Rothia mucilaginosa	species
Rothia nasimurium	Rothia nasimurium	species
Rothia terrae	Rothia terrae	species
Ruania albidiflava	Ruania albidiflava	species
Rubellimicrobium roseum	Rubellimicrobium roseum	species
Rubricoccus marinus	Rubricoccus marinus	species
Rubrimonas cliftonensis	Rubrimonas cliftonensis	species
Rubrimonas shengliensis	Rubrimonas shengliensis	species
Rubritalea marina	Rubritalea marina	species
Rubritalea spongiae	Rubritalea spongiae	species
Rubritalea squalenifaciens	Rubritalea squalenifaciens	species
Rubritalea tangerina	Rubritalea tangerina	species
Rubritepida flocculans	Rubritepida flocculans	species
Rubrivirga marina	Rubrivirga marina	species
Rubrivivax benzoatilyticus	Rubrivivax benzoatilyticus	species
Rubrivivax gelatinosus	Rubrivivax gelatinosus	species
Rubrobacter xylanophilus	Rubrobacter xylanophilus	species
Rudaeicoccus suwonensis	Rudaeicoccus suwonensis	species
Ruegeria atlantica	Ruegeria atlantica	species
Ruegeria lacuscaerulensis	Ruegeria lacuscaerulensis	species
Rugamonas rubra	Rugamonas rubra	species
Rugosimonospora acidiphila	Rugosimonospora acidiphila	species
Ruminobacter	Ruminobacter	genus
Ruminococcus albus	Ruminococcus albus	species
Ruminococcus bromii	Ruminococcus bromii	species
Ruminococcus champanellensis	Ruminococcus champanellensis	species
Ruminococcus flavefaciens	Ruminococcus flavefaciens	species
Runella zeae	Runella zeae	species
Saccharomonospora marina	Saccharomonospora marina	species
Saccharomonospora viridis	Saccharomonospora viridis	species
Saccharomonospora xinjiangensis	Saccharomonospora xinjiangensis	species
Saccharophagus degradans	Saccharophagus degradans	species
Saccharopolyspora antimicrobica	Saccharopolyspora antimicrobica	species
Saccharopolyspora endophytica	Saccharopolyspora endophytica	species
Saccharopolyspora flava	Saccharopolyspora flava	species
Saccharopolyspora halophila	Saccharopolyspora halophila	species
Saccharopolyspora hirsuta	Saccharopolyspora hirsuta	species
Saccharopolyspora jiangxiensis	Saccharopolyspora jiangxiensis	species
Saccharopolyspora phatthalungensis	Saccharopolyspora phatthalungensis	species
Saccharopolyspora rectivirgula	Saccharopolyspora rectivirgula	species
Saccharopolyspora rosea	Saccharopolyspora rosea	species
Saccharopolyspora shandongensis	Saccharopolyspora shandongensis	species
Saccharopolyspora spinosa	Saccharopolyspora spinosa	species
Saccharopolyspora spinosporotrichia	Saccharopolyspora spinosporotrichia	species
Saccharopolyspora thermophila	Saccharopolyspora thermophila	species
Saccharopolyspora tripterygii	Saccharopolyspora tripterygii	species
Saccharothrix longispora	Saccharothrix longispora	species
Saccharothrix xinjiangensis	Saccharothrix xinjiangensis	species
Sagittula stellata	Sagittula stellata	species
Salegentibacter agarivorans	Salegentibacter agarivorans	species
Salegentibacter flavus	Salegentibacter flavus	species
Salegentibacter salegens	Salegentibacter salegens	species
Salinibacterium xinjiangense	Salinibacterium xinjiangense	species
Salinicoccus alkaliphilus	Salinicoccus alkaliphilus	species
Salinicoccus hispanicus	Salinicoccus hispanicus	species
Salinicoccus jeotgali	Salinicoccus jeotgali	species
Salinicoccus luteus	Salinicoccus luteus	species
Salinicoccus roseus	Salinicoccus roseus	species
Salinimicrobium marinum	Salinimicrobium marinum	species
Salinimicrobium xinjiangense	Salinimicrobium xinjiangense	species
Salinimonas lutimaris	Salinimonas lutimaris	species
Salinisphaera dokdonensis	Salinisphaera dokdonensis	species
Salinisphaera halophila	Salinisphaera halophila	species
Salinisphaera hydrothermalis	Salinisphaera hydrothermalis	species
Salinisphaera japonica	Salinisphaera japonica	species
Salinisphaera orenii	Salinisphaera orenii	species
Salinisphaera shabanensis	Salinisphaera shabanensis	species
Salmonella enterica	Salmonella enterica	species
Sandaracinobacter sibiricus	Sandaracinobacter sibiricus	species
Sandarakinorhabdus limnophila	Sandarakinorhabdus limnophila	species
Sanguibacter antarcticus	Sanguibacter antarcticus	species
Schlesneria paludicola	Schlesneria paludicola	species
Sediminibacter furfurosus	Sediminibacter furfurosus	species
Sediminimonas qiaohouensis	Sediminimonas qiaohouensis	species
Segetibacter koreensis	Segetibacter koreensis	species
Segniliparus rotundus	Segniliparus rotundus	species
Segniliparus rugosus	Segniliparus rugosus	species
Selenihalanaerobacter shriftii	Selenihalanaerobacter shriftii	species
Seleniivibrio woodruffii	Seleniivibrio woodruffii	species
Selenomonas ruminantium	Selenomonas ruminantium	species
Seliberia	Seliberia	genus
Seliberia stellata	Seliberia stellata	species
Serinicoccus marinus	Serinicoccus marinus	species
Serratia	Serratia	genus
Serratia entomophila	Serratia entomophila	species
Serratia liquefaciens	Serratia liquefaciens	species
Serratia marcescens	Serratia marcescens	species
Serratia proteamaculans	Serratia proteamaculans	species
Serratia rubidaea	Serratia rubidaea	species
Sharpea azabuensis	Sharpea azabuensis	species
Shewanella algae	Shewanella algae	species
Shewanella amazonensis	Shewanella amazonensis	species
Shewanella baltica	Shewanella baltica	species
Shewanella benthica	Shewanella benthica	species
Shewanella denitrificans	Shewanella denitrificans	species
Shewanella electrodiphila	Shewanella electrodiphila	species
Shewanella frigidimarina	Shewanella frigidimarina	species
Shewanella gelidimarina	Shewanella gelidimarina	species
Shewanella loihica	Shewanella loihica	species
Shewanella loihica PV-4	Shewanella loihica PV-4	species
Shewanella oneidensis	Shewanella oneidensis	species
Shewanella pealeana	Shewanella pealeana	species
Shewanella putrefaciens	Shewanella putrefaciens	species
Shewanella vesiculosa	Shewanella vesiculosa	species
Shewanella violacea	Shewanella violacea	species
Shewanella woodyi	Shewanella woodyi	species
Shigella boydii	Shigella boydii	species
Shigella dysenteriae	Shigella dysenteriae	species
Shigella flexneri	Shigella flexneri	species
Shigella sonnei	Shigella sonnei	species
Shimia haliotis	Shimia haliotis	species
Siansivirga zeaxanthinifaciens	Siansivirga zeaxanthinifaciens	species
Sideroxydans lithotrophicus	Sideroxydans lithotrophicus	species
Sideroxydans paludicola	Sideroxydans paludicola	species
Singulisphaera acidiphila	Singulisphaera acidiphila	species
Sinomonas albida	Sinomonas albida	species
Sinomonas atrocyanea	Sinomonas atrocyanea	species
Sinomonas flava	Sinomonas flava	species
Sinorhizobium fredii	Sinorhizobium fredii	species
Sinorhizobium medicae	Sinorhizobium medicae	species
Sinorhizobium meliloti	Sinorhizobium meliloti	species
Sinorhizobium saheli	Sinorhizobium saheli	species
Sinorhizobium terangae	Sinorhizobium terangae	species
Skermanella parooensis	Skermanella parooensis	species
Skermania piniformis	Skermania piniformis	species
Slackia faecicanis	Slackia faecicanis	species
Slackia heliotrinireducens	Slackia heliotrinireducens	species
Snuella lapsa	Snuella lapsa	species
Soehngenia saccharolytica	Soehngenia saccharolytica	species
Solirubrobacter pauli	Solirubrobacter pauli	species
Sorangium cellulosum	Sorangium cellulosum	species
Sphaerisporangium album	Sphaerisporangium album	species
Sphaerisporangium flaviroseum	Sphaerisporangium flaviroseum	species
Sphaerotilus natans	Sphaerotilus natans	species
Sphingobacterium kitahiroshimense	Sphingobacterium kitahiroshimense	species
Sphingobacterium multivorum	Sphingobacterium multivorum	species
Sphingobacterium siyangense	Sphingobacterium siyangense	species
Sphingobacterium thalpophilum	Sphingobacterium thalpophilum	species
Sphingobium aromaticiconvertens	Sphingobium aromaticiconvertens	species
Sphingomonadales	Sphingomonadales	order
Sphingomonas azotifigens	Sphingomonas azotifigens	species
Sphingomonas melonis	Sphingomonas melonis	species
Sphingomonas paucimobilis	Sphingomonas paucimobilis	species
Spirillum pleomorphum	Spirillum pleomorphum	species
Spirochaeta africana	Spirochaeta africana	species
Spirochaeta asiatica	Spirochaeta asiatica	species
Spirochaeta aurantia	Spirochaeta aurantia	species
Spirochaeta halophila	Spirochaeta halophila	species
Spirochaeta isovalerica	Spirochaeta isovalerica	species
Spirochaeta thermophila	Spirochaeta thermophila	species
Spiroplasma citri	Spiroplasma citri	species
Sporanaerobacter acetigenes	Sporanaerobacter acetigenes	species
Sporichthya polymorpha	Sporichthya polymorpha	species
Sporobacter termitidis	Sporobacter termitidis	species
Sporobacterium olearium	Sporobacterium olearium	species
Sporocytophaga myxococcoides	Sporocytophaga myxococcoides	species
Sporomusa acidovorans	Sporomusa acidovorans	species
Sporomusa aerivorans	Sporomusa aerivorans	species
Sporomusa malonica	Sporomusa malonica	species
Sporomusa ovata	Sporomusa ovata	species
Sporomusa paucivorans	Sporomusa paucivorans	species
Sporomusa rhizae	Sporomusa rhizae	species
Sporomusa silvacetica	Sporomusa silvacetica	species
Sporomusa sphaeroides	Sporomusa sphaeroides	species
Sporomusa termitida	Sporomusa termitida	species
Sporosarcina contaminans	Sporosarcina contaminans	species
Sporosarcina globispora	Sporosarcina globispora	species
Sporosarcina pasteurii	Sporosarcina pasteurii	species
Sporosarcina psychrophila	Sporosarcina psychrophila	species
Sporosarcina thermotolerans	Sporosarcina thermotolerans	species
Stackebrandtia nassauensis	Stackebrandtia nassauensis	species
Staphylococcus arlettae	Staphylococcus arlettae	species
Staphylococcus aureus	Staphylococcus aureus	species
Staphylococcus capitis	Staphylococcus capitis	species
Staphylococcus carnosus	Staphylococcus carnosus	species
Staphylococcus chromogenes	Staphylococcus chromogenes	species
Staphylococcus delphini	Staphylococcus delphini	species
Staphylococcus epidermidis	Staphylococcus epidermidis	species
Staphylococcus equorum	Staphylococcus equorum	species
Staphylococcus gallinarum	Staphylococcus gallinarum	species
Staphylococcus hominis	Staphylococcus hominis	species
Staphylococcus hyicus	Staphylococcus hyicus	species
Staphylococcus intermedius	Staphylococcus intermedius	species
Staphylococcus lugdunensis	Staphylococcus lugdunensis	species
Staphylococcus lutrae	Staphylococcus lutrae	species
Staphylococcus muscae	Staphylococcus muscae	species
Staphylococcus nepalensis	Staphylococcus nepalensis	species
Staphylococcus pasteuri	Staphylococcus pasteuri	species
Staphylococcus piscifermentans	Staphylococcus piscifermentans	species
Staphylococcus pseudintermedius	Staphylococcus pseudintermedius	species
Staphylococcus saccharolyticus	Staphylococcus saccharolyticus	species
Staphylococcus saprophyticus	Staphylococcus saprophyticus	species
Staphylococcus schleiferi	Staphylococcus schleiferi	species
Staphylococcus simiae	Staphylococcus simiae	species
Staphylococcus simulans	Staphylococcus simulans	species
Staphylococcus succinus	Staphylococcus succinus	species
Staphylococcus warneri	Staphylococcus warneri	species
Staphylococcus xylosus	Staphylococcus xylosus	species
Starkeya novella	Starkeya novella	species
Stenotrophomonas	Stenotrophomonas	genus
Stenotrophomonas maltophilia	Stenotrophomonas maltophilia	species
Steroidobacter denitrificans	Steroidobacter denitrificans	species
Streptacidiphilus oryzae	Streptacidiphilus oryzae	species
Streptoalloteichus hindustanus	Streptoalloteichus hindustanus	species
Streptococcus	Streptococcus	genus
Streptococcus agalactiae	Streptococcus agalactiae	species
Streptococcus alactolyticus	Streptococcus alactolyticus	species
Streptococcus anginosus	Streptococcus anginosus	species
Streptococcus canis	Streptococcus canis	species
Streptococcus constellatus	Streptococcus constellatus	species
Streptococcus dysgalactiae	Streptococcus dysgalactiae	species
Streptococcus gallolyticus	Streptococcus gallolyticus	species
Streptococcus iniae	Streptococcus iniae	species
Streptococcus intermedius	Streptococcus intermedius	species
Streptococcus mitis	Streptococcus mitis	species
Streptococcus mutans	Streptococcus mutans	species
Streptococcus oralis	Streptococcus oralis	species
Streptococcus pneumoniae	Streptococcus pneumoniae	species
Streptococcus pseudopneumoniae	Streptococcus pseudopneumoniae	species
Streptococcus pyogenes	Streptococcus pyogenes	species
Streptococcus sanguinis	Streptococcus sanguinis	species
Streptococcus sobrinus	Streptococcus sobrinus	species
Streptococcus suis	Streptococcus suis	species
Streptococcus thermophilus	Streptococcus thermophilus	species
Streptococcus uberis	Streptococcus uberis	species
Streptococcus urinalis	Streptococcus urinalis	species
Streptomyces aculeolatus	Streptomyces aculeolatus	species
Streptomyces africanus	Streptomyces africanus	species
Streptomyces albiaxialis	Streptomyces albiaxialis	species
Streptomyces badius	Streptomyces badius	species
Streptomyces beijiangensis	Streptomyces beijiangensis	species
Streptomyces brasiliensis	Streptomyces brasiliensis	species
Streptomyces canus	Streptomyces canus	species
Streptomyces capillispiralis	Streptomyces capillispiralis	species
Streptomyces cinereus	Streptomyces cinereus	species
Streptomyces coelescens	Streptomyces coelescens	species
Streptomyces coelicolor	Streptomyces coelicolor	species
Streptomyces cyaneus	Streptomyces cyaneus	species
Streptomyces cyanocolor	Streptomyces cyanocolor	species
Streptomyces durmitorensis	Streptomyces durmitorensis	species
Streptomyces eurythermus	Streptomyces eurythermus	species
Streptomyces ferralitis	Streptomyces ferralitis	species
Streptomyces flaveus	Streptomyces flaveus	species
Streptomyces flavovirens	Streptomyces flavovirens	species
Streptomyces fumigatiscleroticus	Streptomyces fumigatiscleroticus	species
Streptomyces glauciniger	Streptomyces glauciniger	species
Streptomyces griseus	Streptomyces griseus	species
Streptomyces hainanensis	Streptomyces hainanensis	species
Streptomyces hebeiensis	Streptomyces hebeiensis	species
Streptomyces humiferus	Streptomyces humiferus	species
Streptomyces ipomoeae	Streptomyces ipomoeae	species
Streptomyces javensis	Streptomyces javensis	species
Streptomyces kasugaensis	Streptomyces kasugaensis	species
Streptomyces koyangensis	Streptomyces koyangensis	species
Streptomyces lavendulae	Streptomyces lavendulae	species
Streptomyces lividans	Streptomyces lividans	species
Streptomyces mexicanus	Streptomyces mexicanus	species
Streptomyces niger	Streptomyces niger	species
Streptomyces nitrosporeus	Streptomyces nitrosporeus	species
Streptomyces olivaceoviridis	Streptomyces olivaceoviridis	species
Streptomyces olivochromogenes	Streptomyces olivochromogenes	species
Streptomyces paradoxus	Streptomyces paradoxus	species
Streptomyces peucetius	Streptomyces peucetius	species
Streptomyces phaeoluteichromatogenes	Streptomyces phaeoluteichromatogenes	species
Streptomyces pharetrae	Streptomyces pharetrae	species
Streptomyces plicatus	Streptomyces plicatus	species
Streptomyces prasinopilosus	Streptomyces prasinopilosus	species
Streptomyces pseudogriseolus	Streptomyces pseudogriseolus	species
Streptomyces purpureus	Streptomyces purpureus	species
Streptomyces reticuli	Streptomyces reticuli	species
Streptomyces reticuliscabiei	Streptomyces reticuliscabiei	species
Streptomyces sanglieri	Streptomyces sanglieri	species
Streptomyces scopiformis	Streptomyces scopiformis	species
Streptomyces sodiiphilus	Streptomyces sodiiphilus	species
Streptomyces speibonae	Streptomyces speibonae	species
Streptomyces thermoalcalitolerans	Streptomyces thermoalcalitolerans	species
Streptomyces thermocarboxydovorans	Streptomyces thermocarboxydovorans	species
Streptomyces thermocarboxydus	Streptomyces thermocarboxydus	species
Streptomyces thermocoprophilus	Streptomyces thermocoprophilus	species
Streptomyces thermogriseus	Streptomyces thermogriseus	species
Streptomyces thermospinosisporus	Streptomyces thermospinosisporus	species
Streptomyces thermoviolaceus	Streptomyces thermoviolaceus	species
Streptomyces viridosporus	Streptomyces viridosporus	species
Streptomyces vitaminophilus	Streptomyces vitaminophilus	species
Streptomyces yanii	Streptomyces yanii	species
Streptosporangium pseudovulgare	Streptosporangium pseudovulgare	species
Streptosporangium purpuratum	Streptosporangium purpuratum	species
Streptosporangium roseum	Streptosporangium roseum	species
Streptosporangium rubrum	Streptosporangium rubrum	species
Streptosporangium subroseum	Streptosporangium subroseum	species
Streptosporangium violaceochromogenes	Streptosporangium violaceochromogenes	species
Streptosporangium yunnanense	Streptosporangium yunnanense	species
Subdoligranulum variabile	Subdoligranulum variabile	species
Subsaxibacter broadyi	Subsaxibacter broadyi	species
Subsaximicrobium saxinquilinus	Subsaximicrobium saxinquilinus	species
Subsaximicrobium wynnwilliamsii	Subsaximicrobium wynnwilliamsii	species
Subtercola frigoramans	Subtercola frigoramans	species
Sufflavibacter maritimus	Sufflavibacter maritimus	species
Sulfitobacter brevis	Sulfitobacter brevis	species
Sulfitobacter mediterraneus	Sulfitobacter mediterraneus	species
Sulfitobacter pacificus	Sulfitobacter pacificus	species
Sulfitobacter pontiacus	Sulfitobacter pontiacus	species
Sulfodiicoccus	Sulfodiicoccus	genus
Sulfolobus acidocaldarius	Sulfolobus acidocaldarius	species
Sulfuricella denitrificans	Sulfuricella denitrificans	species
Sulfuricurvum kujiense	Sulfuricurvum kujiense	species
Sulfuriferula multivorans	Sulfuriferula multivorans	species
Sulfurifustis variabilis	Sulfurifustis variabilis	species
Sulfurihydrogenibium azorense	Sulfurihydrogenibium azorense	species
Sulfurihydrogenibium kristjanssonii	Sulfurihydrogenibium kristjanssonii	species
Sulfurihydrogenibium subterraneum	Sulfurihydrogenibium subterraneum	species
Sulfurihydrogenibium yellowstonense	Sulfurihydrogenibium yellowstonense	species
Sulfurimonas autotrophica	Sulfurimonas autotrophica	species
Sulfurimonas denitrificans	Sulfurimonas denitrificans	species
Sulfurimonas gotlandica	Sulfurimonas gotlandica	species
Sulfurimonas hongkongensis	Sulfurimonas hongkongensis	species
Sulfurimonas paralvinellae	Sulfurimonas paralvinellae	species
Sulfuritalea hydrogenivorans	Sulfuritalea hydrogenivorans	species
Sulfurivirga caldicuralii	Sulfurivirga caldicuralii	species
Sulfurospirillum alkalitolerans	Sulfurospirillum alkalitolerans	species
Sulfurospirillum arcachonense	Sulfurospirillum arcachonense	species
Sulfurospirillum arsenophilum	Sulfurospirillum arsenophilum	species
Sulfurospirillum barnesii	Sulfurospirillum barnesii	species
Sulfurospirillum deleyianum	Sulfurospirillum deleyianum	species
Sulfurospirillum multivorans	Sulfurospirillum multivorans	species
Sulfurovum aggregans	Sulfurovum aggregans	species
Sulfurovum lithotrophicum	Sulfurovum lithotrophicum	species
Sulfurovum riftiae	Sulfurovum riftiae	species
Symbiobacterium toebii	Symbiobacterium toebii	species
Synergistes jonesii	Synergistes jonesii	species
Syntrophobacter fumaroxidans	Syntrophobacter fumaroxidans	species
Syntrophobacter pfennigii	Syntrophobacter pfennigii	species
Syntrophococcus sucromutans	Syntrophococcus sucromutans	species
Syntrophorhabdus aromaticivorans	Syntrophorhabdus aromaticivorans	species
Syntrophothermus lipocalidus	Syntrophothermus lipocalidus	species
Syntrophus gentianae	Syntrophus gentianae	species
Tamlana agarivorans	Tamlana agarivorans	species
Tamlana sedimentorum	Tamlana sedimentorum	species
Taonella mepensis	Taonella mepensis	species
Tateyamaria omphalii	Tateyamaria omphalii	species
Tateyamaria pelophila	Tateyamaria pelophila	species
Telluria mixta	Telluria mixta	species
Telmatobacter bradus	Telmatobacter bradus	species
Telmatospirillum siberiense	Telmatospirillum siberiense	species
Tenacibaculum litoreum	Tenacibaculum litoreum	species
Tenacibaculum maritimum	Tenacibaculum maritimum	species
Tenacibaculum ovolyticum	Tenacibaculum ovolyticum	species
Tenacibaculum skagerrakense	Tenacibaculum skagerrakense	species
Tepidibacillus decaturensis	Tepidibacillus decaturensis	species
Tepidibacter formicigenes	Tepidibacter formicigenes	species
Tepidimonas ignava	Tepidimonas ignava	species
Terrabacter aerolatus	Terrabacter aerolatus	species
Terrabacter terrae	Terrabacter terrae	species
Terrabacter tumescens	Terrabacter tumescens	species
Terracoccus luteus	Terracoccus luteus	species
Tersicoccus phoenicis	Tersicoccus phoenicis	species
Tessaracoccus bendigoensis	Tessaracoccus bendigoensis	species
Tetragenococcus	Tetragenococcus	genus
Tetrasphaera jenkinsii	Tetrasphaera jenkinsii	species
Thalassobacter stenotrophicus	Thalassobacter stenotrophicus	species
Thalassobaculum salexigens	Thalassobaculum salexigens	species
Thalassobius gelatinovorus	Thalassobius gelatinovorus	species
Thalassococcus lentus	Thalassococcus lentus	species
Thalassolituus oleivorans	Thalassolituus oleivorans	species
Thalassospira lucentensis	Thalassospira lucentensis	species
Thalassospira permensis	Thalassospira permensis	species
Thalassospira profundimaris	Thalassospira profundimaris	species
Thalassospira tepidiphila	Thalassospira tepidiphila	species
Thalassospira xiamenensis	Thalassospira xiamenensis	species
Thalassospira xianhensis	Thalassospira xianhensis	species
Thauera aminoaromatica	Thauera aminoaromatica	species
Thauera aromatica	Thauera aromatica	species
Thauera chlorobenzoica	Thauera chlorobenzoica	species
Thauera linaloolentis	Thauera linaloolentis	species
Thauera mechernichensis	Thauera mechernichensis	species
Thauera phenylacetica	Thauera phenylacetica	species
Thauera selenatis	Thauera selenatis	species
Thauera terpenica	Thauera terpenica	species
Thermacetogenium phaeum	Thermacetogenium phaeum	species
Thermaerobacter composti	Thermaerobacter composti	species
Thermicanus aegyptius	Thermicanus aegyptius	species
Thermincola ferriacetica	Thermincola ferriacetica	species
Thermithiobacillus tepidarius	Thermithiobacillus tepidarius	species
Thermoactinomyces vulgaris	Thermoactinomyces vulgaris	species
Thermoanaerobacter italicus	Thermoanaerobacter italicus	species
Thermoanaerobacter kivui	Thermoanaerobacter kivui	species
Thermoanaerobacter siderophilus	Thermoanaerobacter siderophilus	species
Thermoanaerobacter thermocopriae	Thermoanaerobacter thermocopriae	species
Thermoanaerobacter thermohydrosulfuricus	Thermoanaerobacter thermohydrosulfuricus	species
Thermoanaerobacter wiegelii	Thermoanaerobacter wiegelii	species
Thermoanaerobacterium	Thermoanaerobacterium	genus
Thermoanaerobacterium aciditolerans	Thermoanaerobacterium aciditolerans	species
Thermoanaerobacterium aotearoense	Thermoanaerobacterium aotearoense	species
Thermoanaerobacterium saccharolyticum	Thermoanaerobacterium saccharolyticum	species
Thermoanaerobacterium thermosaccharolyticum	Thermoanaerobacterium thermosaccharolyticum	species
Thermoanaerobacterium thermosulfurigenes	Thermoanaerobacterium thermosulfurigenes	species
