microtrait_hmm-name	microtrait_hmm-dbxref_kegg	microtrait_hmm-dbxref_ec	microtrait_hmm-dbxref_TC	microtrait_hmm-description	microtrait_hmm-notes
pfkB	K16370	2.7.1.11	NA	6-phosphofructokinase 2 [EC:2.7.1.11] 	NA
pfkC	K00918	2.7.1.146;2.7.1.147	NA	ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147] 	NA
fba_2	K16305	4.1.2.13;2.2.1.11	NA	fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]	NA
fba_3	K16306	4.1.2.13;2.2.1.10	NA	fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]	NA
pyk	K00873	2.7.1.40	NA	PK, pyk; pyruvate kinase [EC:2.7.1.40] 	NA
pckA1	K01596	4.1.1.32	NA	phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]	NA
pckA2	K01610	4.1.1.49	NA	E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49] 	NA
gpd	K00036	1.1.1.49;1.1.1.363	NA	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363] 	NA
pgl_1	K01057	3.1.1.31	NA	PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31] 	NA
pgl_2	K07404	3.1.1.31	NA	pgl; 6-phosphogluconolactonase [EC:3.1.1.31] 	NA
edd	K01690	4.2.1.12	NA	edd; phosphogluconate dehydratase [EC:4.2.1.12] 	NA
eda	K01625	4.1.2.1	NA	eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.1 	NA
dgaF	K17463	4.1.2.14	NA	dgaF; 2-dehydro-3-deoxy-phosphogluconate aldolase [EC:4.1.2.14] 	NA
kdpgA	K11395	4.1.2.55	NA	2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]	NA
lldE	K18928	NA	NA	L-lactate dehydrogenase complex protein LldE	NA
lldF	K18929	NA	NA	L-lactate dehydrogenase complex protein LldF	NA
lldG	K00782	NA	NA	L-lactate dehydrogenase complex protein LldG	NA
pgd	K00033	1.1.1.44;1.1.1.343	NA	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] 	NA
rpe	K01783	5.1.3.1	NA	rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1] 	NA
tal	K00616	2.2.1.2	NA	E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2] 	NA
prs	K00948	2.7.6.1	NA	PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1] 	NA
GH1	NA	NA	NA	glycoside hydrolase CAZy family 1	NA
GH2	NA	NA	NA	glycoside hydrolase CAZy family 2	NA
GH3	NA	NA	NA	glycoside hydrolase CAZy family 3	NA
GH4	NA	NA	NA	glycoside hydrolase CAZy family 4	NA
GH5	NA	NA	NA	glycoside hydrolase CAZy family 5	NA
GH6	NA	NA	NA	glycoside hydrolase CAZy family 6	NA
GH7	NA	NA	NA	glycoside hydrolase CAZy family 7	NA
GH8	NA	NA	NA	glycoside hydrolase CAZy family 8	NA
GH9	NA	NA	NA	glycoside hydrolase CAZy family 9	NA
GH10	NA	NA	NA	glycoside hydrolase CAZy family 10	NA
GH11	NA	NA	NA	glycoside hydrolase CAZy family 11	NA
GH12	NA	NA	NA	glycoside hydrolase CAZy family 12	NA
GH16	NA	NA	NA	glycoside hydrolase CAZy family 16	NA
GH18	NA	NA	NA	glycoside hydrolase CAZy family 18	NA
GH19	NA	NA	NA	glycoside hydrolase CAZy family 19	NA
GH20	NA	NA	NA	glycoside hydrolase CAZy family 20	NA
GH23	NA	NA	NA	glycoside hydrolase CAZy family 23	NA
GH26	NA	NA	NA	glycoside hydrolase CAZy family 26	NA
GH27	NA	NA	NA	glycoside hydrolase CAZy family 27	NA
GH30	NA	NA	NA	glycoside hydrolase CAZy family 30	NA
GH31	NA	NA	NA	glycoside hydrolase CAZy family 31	NA
GH36	NA	NA	NA	glycoside hydrolase CAZy family 36	NA
GH39	NA	NA	NA	glycoside hydrolase CAZy family 39	NA
GH43	NA	NA	NA	glycoside hydrolase CAZy family 43	NA
GH44	NA	NA	NA	glycoside hydrolase CAZy family 44	NA
GH45	NA	NA	NA	glycoside hydrolase CAZy family 45	NA
GH48	NA	NA	NA	glycoside hydrolase CAZy family 48	NA
GH51	NA	NA	NA	glycoside hydrolase CAZy family 51	NA
GH52	NA	NA	NA	glycoside hydrolase CAZy family 52	NA
GH54	NA	NA	NA	glycoside hydrolase CAZy family 54	NA
GH62	NA	NA	NA	glycoside hydrolase CAZy family 62	NA
GH74	NA	NA	NA	glycoside hydrolase CAZy family 74	NA
GH79	NA	NA	NA	glycoside hydrolase CAZy family 79	NA
GH97	NA	NA	NA	glycoside hydrolase CAZy family 97	NA
GH98	NA	NA	NA	glycoside hydrolase CAZy family 98	NA
GH124	NA	NA	NA	glycoside hydrolase CAZy family 124	NA
GH110	NA	NA	NA	glycoside hydrolase CAZy family 110	NA
GH113	NA	NA	NA	glycoside hydrolase CAZy family 113	NA
GH116	NA	NA	NA	glycoside hydrolase CAZy family 116	NA
GH120	NA	NA	NA	glycoside hydrolase CAZy family 120	NA
GH134	NA	NA	NA	glycoside hydrolase CAZy family 134	NA
cdhC	K00193	2.3.1.169	NA	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169] 	NA
acss	K01895	6.2.1.1	NA	acetyl-CoA synthetase [EC:6.2.1.1] 	NA
tmtrA	K00577	2.1.1.86	NA	tetrahydromethanopterin S-methyltransferase subunit A [EC:2.1.1.86] 	NA
tmtrB	K00578	2.1.1.86	NA	tetrahydromethanopterin S-methyltransferase subunit B [EC:2.1.1.86] 	NA
tmtrC	K00579	2.1.1.86	NA	tetrahydromethanopterin S-methyltransferase subunit C [EC:2.1.1.86] 	NA
tmtrD	K00580	2.1.1.86	NA	tetrahydromethanopterin S-methyltransferase subunit D [EC:2.1.1.86] 	NA
tmtrE	K00581	2.1.1.86	NA	tetrahydromethanopterin S-methyltransferase subunit E [EC:2.1.1.86] 	NA
tmtrF	K00582	2.1.1.86	NA	tetrahydromethanopterin S-methyltransferase subunit F [EC:2.1.1.86] 	NA
tmtrG	K00583	2.1.1.86	NA	tetrahydromethanopterin S-methyltransferase subunit G [EC:2.1.1.86] 	NA
tmtrH	K00584	2.1.1.86	NA	tetrahydromethanopterin S-methyltransferase subunit H [EC:2.1.1.86] 	NA
mcrA	K00399	2.8.4.1	NA	methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1] 	NA
mcrB	K00401	2.8.4.1	NA	methyl-coenzyme M reductase beta subunit [EC:2.8.4.1] 	NA
mcrG	K00402	2.8.4.1	NA	methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1] 	NA
mcr2	K00400	NA	NA	methyl coenzyme M reductase system, component A2 	NA
mcrC	K03421	NA	NA	methyl-coenzyme M reductase subunit C 	NA
mcrD	K03422	NA	NA	methyl-coenzyme M reductase subunit D 	NA
fwdA	K00200	1.2.7.12	NA	formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12] 	NA
fwdB	K00201	1.2.7.12	NA	formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12] 	NA
fwdC	K00202	1.2.7.12	NA	formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12] 	NA
fwdD	K00203	1.2.7.12	NA	formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12] 	NA
fwdF	K00205	NA	NA	4Fe-4S ferredoxin 	NA
fwdH	K00204	NA	NA	4Fe-4S ferredoxin 	NA
fwdG	K11260	NA	NA	4Fe-4S ferredoxin 	NA
fwdE	K11261	1.2.7.12	NA	formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12] 	NA
ftr	K00672	2.3.1.101	NA	formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101] 	NA
mtdch	K01499	3.5.4.27	NA	methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27] 	NA
hmd	K13942	1.12.98.2	NA	5,10-methenyltetrahydromethanopterin hydrogenase [EC:1.12.98.2] 	NA
mer	K00320	1.5.98.2	NA	5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2] 	NA
mtaB	K04480	2.1.1.90	NA	methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase [EC:2.1.1.90] 	NA
mtaC	K14081	NA	NA	methanol corrinoid protein 	NA
mtd	K00319	1.5.98.1	NA	methylenetetrahydromethanopterin dehydrogenase [EC:1.5.98.1] 	NA
torA	K07811	1.7.2.3	NA	trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3] 	NA
torZ	K07812	1.7.2.3	NA	trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3] 	NA
torC	K03532	NA	NA	trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorC 	NA
torY	K07821	NA	NA	trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorY 	NA
mtbA	K14082	2.1.1.247	NA	[methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.247]	NA
mttB	K14083	2.1.1.250	NA	trimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.250] 	NA
mttC	K14084	NA	NA	trimethylamine corrinoid protein 	NA
mtbB	K16178	2.1.1.249	NA	dimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.249] 	NA
mtbC	K16179	NA	NA	dimethylamine corrinoid protein 	NA
mtmB	K16176	2.1.1.248	NA	methylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.248] 	NA
mtmC	K16177	NA	NA	monomethylamine corrinoid protein 	NA
dmd-tmd	K00317	1.5.8.1;1.5.8.2	NA	dimethylamine/trimethylamine dehydrogenase [EC:1.5.8.1 1.5.8.2] 	NA
mmtsA	K16954	2.1.1.251	NA	methylthiol:coenzyme M methyltransferase [EC:2.1.1.251] 	NA
glyA	K00600	2.1.2.1	NA	glycine hydroxymethyltransferase [EC:2.1.2.1] 	NA
agxt	K00830	2.6.1.44;2.6.1.45;2.6.1.51	NA	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	NA
hprA	K00018	1.1.1.29	NA	glycerate dehydrogenase [EC:1.1.1.29] 	NA
mtkB	K08692	6.2.1.9	NA	malate-CoA ligase subunit alpha [EC:6.2.1.9] 	NA
phbC	K03821	2.3.1.-	NA	polyhydroxyalkanoate synthase subunit PhaC [EC:2.3.1.-]	NA
phaZ	K05973	3.1.1.75	NA	poly(3-hydroxybutyrate) depolymerase [EC:3.1.1.75]	NA
phaZ2	K07518	3.1.1.22	NA	hydroxybutyrate-dimer hydrolase [EC:3.1.1.22]	NA
fae	K10713	4.2.1.147	NA	5,6,7,8-tetrahydromethanopterin hydro-lyase [EC:4.2.1.147] 	NA
fchA	K01500	3.5.4.9	NA	methenyltetrahydrofolate cyclohydrolase [EC:3.5.4.9]	NA
hxlA	K08093	4.1.2.43	NA	3-hexulose-6-phosphate synthase [EC:4.1.2.43] 	NA
hps-phi	K13831	4.1.2.43;5.3.1.27	NA	3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27] 	NA
mmoX	K16157	1.14.13.25	NA	methane monooxygenase component A alpha chain [EC:1.14.13.25] 	NA
mmoY	K16158	1.14.13.25	NA	methane monooxygenase component A beta chain [EC:1.14.13.25] 	NA
mmoZ	K16159	1.14.13.25	NA	methane monooxygenase component A gamma chain [EC:1.14.13.25] 	NA
mmoC	K16161	1.14.13.25	NA	methane monooxygenase component C [EC:1.14.13.25] 	NA
mmoD	K16162	NA	NA	methane monooxygenase component D 	NA
pmoA-amoA	K10944	1.14.18.3;1.14.99.39	NA	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39] 	NA
pmoB-amoB	K10945	NA	NA	methane/ammonia monooxygenase subunit B 	NA
pmoC-amoC	K10946	NA	NA	methane/ammonia monooxygenase subunit C 	NA
mxaF	K14028	1.1.2.7	NA	methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7] 	NA
mxaJ	K16254	NA	NA	mxaJ protein 	NA
mxaG	K16255	NA	NA	cytochrome c-L 	NA
mxaI	K14029	1.1.2.7	NA	methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7] 	NA
mxaA	K16256	NA	NA	mxaA protein 	NA
mxaC	K16257	NA	NA	mxaC protein 	NA
mxaD	K16260	NA	NA	mxaD protein 	NA
mxaK	K16258	NA	NA	mxaK protein 	NA
mxaL	K16259	NA	NA	mxaL protein 	NA
xoxF	K23995	1.1.2.10	NA	lanthanide-dependent methanol dehydrogenase [EC:1.1.2.10]	NA
mtdA	K00300	1.5.1.5;1.5.1.-	NA	methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+) [EC:1.5.1.5 1.5.1.-]	NA
fdhAF420	K22516	1.17.98.3;1.8.98.6	NA	formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6] 	NA
fdhBF420	K00125	1.17.98.3;1.8.98.6	NA	formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6] 	NA
fdhA	K00148	1.2.1.46	NA	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46] 	NA
fae-hps	K13812	4.2.1.147;4.1.2.43	NA	bifunctional enzyme Fae/Hps [EC:4.2.1.147 4.1.2.43] 	NA
mtdB	K10714	1.5.1.-	NA	methylene-tetrahydromethanopterin dehydrogenase [EC:1.5.1.-] 	NA
mxaR	K03924	3.6.3.-	NA	MoxR-like ATPase [EC:3.6.3.-]	NA
narG	K00370	1.7.5.1;1.7.99.-	NA	nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]	NA
narH	K00371	1.7.5.1;1.7.99.-	NA	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	NA
narI_dsrM	K00374	1.7.5.1;1.7.99.-	NA	nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	NA
napA	K02567	1.7.99.-	NA	periplasmic nitrate reductase NapA [EC:1.7.99.-]	NA
napB	K02568	NA	NA	cytochrome c-type protein NapB	NA
nirS	K15864	1.7.2.1;1.7.99.1	NA	nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]	NA
nirK	K00368	1.7.2.1	NA	nitrite reductase (NO-forming) [EC:1.7.2.1]	NA
nirB	K00362	1.7.1.15	NA	nitrite reductase (NADH) large subunit [EC:1.7.1.15]	NA
nirC	K02598	NA	1.A.16.3	nitrite transporter NirC	NA
norB	K04561	1.7.2.5	NA	nitric oxide reductase subunit B [EC:1.7.2.5]	NA
norC	K02305	NA	NA	nitric oxide reductase subunit C	NA
norV	K12264	NA	NA	anaerobic nitric oxide reductase flavorubredoxin	NA
norW	K12265	1.18.1.-	NA	nitric oxide reductase FlRd-NAD(+) reductase [EC:1.18.1.-]	NA
nasA	K00372	1.7.99.-	NA	assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]	NA
nasB	K00360	1.7.99.-	NA	assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]	NA
hzsA	K20934	1.7.2.7	NA	hydrazine synthase subunit [EC:1.7.2.7]	NA
hzsB	K20933	1.7.2.7	NA	hydrazine synthase subunit [EC:1.7.2.7]	NA
hzsC	K20932	1.7.2.7	NA	hydrazine synthase subunit [EC:1.7.2.7]	NA
nifD	K02586	1.18.6.1	NA	nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	NA
nifK	K02591	1.18.6.1	NA	nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	NA
nifH	K02588	NA	NA	nitrogenase iron protein NifH	NA
vnfD	K22896	1.18.6.2	NA	vanadium-dependent nitrogenase alpha chain [EC:1.18.6.2]	NA
vnfG	K22898	1.18.6.2	NA	vanadium nitrogenase delta subunit [EC:1.18.6.2]	NA
vnfK	K22897	1.18.6.2	NA	vanadium-dependent nitrogenase beta chain [EC:1.18.6.2]	NA
vnfH	K22899	NA	NA	vanadium-iron nitrogenase iron protein	NA
nosZ	K00376	1.7.2.4	NA	nitrous-oxide reductase [EC:1.7.2.4]	NA
narB	K00367	1.7.7.2	NA	ferredoxin-nitrate reductase [EC:1.7.7.2]	NA
nirD	K00363	1.7.1.15	NA	nitrite reductase (NADH) small subunit [EC:1.7.1.15]	NA
nrfA	K03385	1.7.2.2	NA	nitrite reductase (cytochrome c-552) [EC:1.7.2.2]	NA
nrfH	K15876	NA	NA	cytochrome c nitrite reductase small subunit	NA
nirA	K00366	1.7.7.1	NA	ferredoxin-nitrite reductase [EC:1.7.7.1]	NA
hao	K10535	1.7.2.6	NA	hydroxylamine dehydrogenase [EC:1.7.2.6]	NA
hdh	K20935	1.7.2.8	NA	hydrazine dehydrogenase [EC:1.7.2.8]	NA
anfG	K00531	1.18.6.1	NA	nitrogenase delta subunit [EC:1.18.6.1]	NA
gudB	K00260	1.4.1.2	NA	glutamate dehydrogenase [EC:1.4.1.2]	NA
gdh2	K15371	1.4.1.2	NA	glutamate dehydrogenase [EC:1.4.1.2]	NA
gdhA_1	K00261	1.4.1.3	NA	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	NA
gdhA_2	K00262	1.4.1.4	NA	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	NA
gltB	K00265	1.4.1.13	NA	glutamate synthase (NADPH) large chain [EC:1.4.1.13]	NA
gltD	K00266	1.4.1.13	NA	glutamate synthase (NADPH) small chain [EC:1.4.1.13]	NA
gltS1	K00284	1.4.7.1	NA	glutamate synthase (ferredoxin) [EC:1.4.7.1]	NA
glnA	K01915	6.3.1.2	NA	glutamine synthetase [EC:6.3.1.2]	NA
aspB	K00812	2.6.1.1	NA	aspartate aminotransferase [EC:2.6.1.1]	NA
aspC	K00813	2.6.1.1	NA	aspartate aminotransferase [EC:2.6.1.1]	NA
yhdR	K11358	2.6.1.1	NA	aspartate aminotransferase [EC:2.6.1.1]	NA
phoA	K01077	3.1.3.1	NA	alkaline phosphatase [EC:3.1.3.1]	NA
phoD	K01113	3.1.3.1	NA	alkaline phosphatase D [EC:3.1.3.1]	NA
phoN	K09474	3.1.3.2	NA	acid phosphatase (class A) [EC:3.1.3.2]	NA
aphA	K03788	3.1.3.2	NA	acid phosphatase (class B) [EC:3.1.3.2]	NA
phy	K01083	3.1.3.8	NA	3-phytase [EC:3.1.3.8]	NA
appA	K01093	3.1.3.26;3.1.3.2	NA	4-phytase / acid phosphatase [EC:3.1.3.26 3.1.3.2]	NA
psaA	K02689	NA	NA	photosystem I P700 chlorophyll a apoprotein A1, photosystem I reaction center subunit Ia	NA
psaB	K02690	NA	NA	photosystem I P700 chlorophyll a apoprotein A2	NA
psaC	K02691	NA	NA	photosystem I subunit VII, photosystem I iron-sulfur center	NA
psaD	K02692	NA	NA	photosystem I subunit II, photosystem I reaction center subunit II (PsaD)	NA
psaE	K02693	NA	NA	photosystem I subunit IV, photosystem I reaction centre subunit IV/PsaE	NA
psaF	K02694	NA	NA	photosystem I subunit III, photosystem I reaction center subunit III (PsaF)	NA
psaI	K02696	NA	NA	photosystem I subunit VIII, reaction center subunit VIII	NA
psaJ	K02697	NA	NA	photosystem I subunit IX, photosystem I reaction centre subunit IX (PsaJ)	NA
psaK	K02698	NA	NA	photosystem I subunit X, photosystem I reaction center subunit X (PsaK)	NA
psaL	K02699	NA	NA	photosystem I subunit XI, photosystem I reaction center subunit XI (PsaL)	NA
psaM	K02700	NA	NA	photosystem I subunit XII, photosystem I reaction centre subunit XII (PsaM)	NA
psaX	K02702	NA	NA	photosystem I 4.8kDa protein	NA
psbA	K02703	1.10.3.9	NA	photosystem II P680 reaction center D1 protein [EC:1.10.3.9]	NA
psbB	K02704	NA	NA	photosystem II CP47 chlorophyll apoprotein, photosystem II CP47 reaction center protein	NA
psbC	K02705	NA	NA	photosystem II CP43 chlorophyll apoprotein, photosystem II 44 kDa subunit reaction center protein	NA
psbD	K02706	1.10.3.9	NA	photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	NA
psbE	K02707	NA	NA	photosystem II cytochrome b559 subunit alpha, cytochrome b559 alpha subunit (PSII reaction center subunit V)	NA
psbF	K02708	NA	NA	photosystem II cytochrome b559 subunit beta, photosystem II reaction center subunit VI	NA
psbH	K02709	NA	NA	photosystem II PsbH protein, photosystem II reaction center protein H	NA
psbI	K02710	NA	NA	photosystem II PsbI protein, photosystem II reaction center I protein (PsbI)	NA
psbJ	K02711	NA	NA	photosystem II PsbJ protein, photosystem II reaction center J protein	NA
psbK	K02712	NA	NA	photosystem II PsbK protein, photosystem II reaction center protein K	NA
psbL	K02713	NA	NA	photosystem II PsbL protein, photosystem II reaction center L protein	NA
psbM	K02714	NA	NA	photosystem II PsbM protein, photosystem II reaction center M protein	NA
psbO	K02716	NA	NA	photosystem II oxygen-evolving enhancer protein 1	NA
psbP	K02717	NA	NA	photosystem II oxygen-evolving enhancer protein 2	NA
psbT	K02718	NA	NA	photosystem II PsbT protein, photosystem II reaction center protein T	NA
psbY	K02723	NA	NA	photosystem II PsbY protein, photosystem II reaction center Y protein 	NA
psbZ	K02724	NA	NA	photosystem II PsbZ protein, photosystem II reaction center Z protein	NA
psb27	K08902	NA	NA	photosystem II Psb27 protein, photosystem II reaction center Psb27 protein	NA
psb28	K08903	NA	NA	photosystem II 13kDa protein, photosystem II reaction center Psb28 protein	NA
psbU	K02719	NA	NA	photosystem II PsbU protein, photosystem II 12 kDa extrinsic protein, chloroplastic	NA
psbV	K02720	NA	NA	photosystem II cytochrome c550	NA
psbX	K02722	NA	NA	photosystem II PsbX protein, photosystem II reaction center X	NA
psb28-2	K08904	NA	NA	photosystem II Psb28-2 protein, photosystem II reaction center W protein	NA
petA	K02634	NA	NA	apocytochrome f	NA
petB	K02635	NA	NA	cytochrome b6	NA
petC	K02636	7.1.1.6	NA	cytochrome b6-f complex iron-sulfur subunit [EC:7.1.1.6]	NA
petD	K02637	NA	NA	cytochrome b6-f complex subunit 4	NA
petG	K02640	NA	NA	cytochrome b6-f complex subunit 5	NA
petL	K02642	NA	NA	cytochrome b6-f complex subunit 6	NA
petM	K02643	NA	NA	cytochrome b6-f complex subunit 7	NA
petN	K03689	NA	NA	cytochrome b6-f complex subunit 8	NA
petE	K02638	NA	NA	plastocyanin	NA
petF	K02639	NA	NA	ferredoxin	NA
petH	K02641	1.18.1.2	NA	ferredoxin--NADP+ reductase [EC:1.18.1.2]	NA
petJ	K08906	NA	NA	cytochrome c6	NA
pufL	K08928	NA	NA	photosynthetic reaction center L subunit	NA
pufM	K08929	NA	NA	photosynthetic reaction center M subunit	NA
puhA	K13991	NA	NA	photosynthetic reaction center H subunit	NA
pufX	K13994	NA	NA	photosynthetic reaction center PufX protein	NA
pufC	K13992	NA	NA	photosynthetic reaction center cytochrome c subunit	NA
pufA	K08926	NA	NA	light-harvesting complex 1 alpha chain	NA
pufB	K08927	NA	NA	light-harvesting complex 1 beta chain	NA
pucA	K08930	NA	NA	light-harvesting protein B-800-850 alpha chain	NA
pucB	K08939	NA	NA	light-harvesting protein B-800-850 beta chain	NA
pscA	K08940	NA	NA	photosystem P840 reaction center large subunit	NA
pscB	K08941	NA	NA	photosystem P840 reaction center iron-sulfur protein	NA
pscC	K08942	NA	NA	photosystem P840 reaction center cytochrome c551	NA
pscD	K08943	NA	NA	photosystem P840 reaction center protein PscD	NA
fmoA	K08944	NA	NA	bacteriochlorophyll A protein	NA
csmA	K08945	NA	NA	chlorosome envelope protein A	NA
csmB	K08946	NA	NA	chlorosome envelope protein B	NA
csmC	K08947	NA	NA	chlorosome envelope protein C	NA
csmD	K08948	NA	NA	chlorosome envelope protein D	NA
csmE	K08949	NA	NA	chlorosome envelope protein E	NA
csmF	K08950	NA	NA	chlorosome envelope protein F	NA
csmH	K08951	NA	NA	chlorosome envelope protein H	NA
csmI	K08952	NA	NA	chlorosome envelope protein I	NA
csmJ	K08953	NA	NA	chlorosome envelope protein J	NA
csmX	K08954	NA	NA	chlorosome envelope protein X	NA
apcA	K02092	NA	NA	allophycocyanin alpha subunit	NA
apcB	K02093	NA	NA	allophycocyanin beta subunit	NA
apcC	K02094	NA	NA	phycobilisome core linker protein	NA
apcD	K02095	NA	NA	allophycocyanin-B	NA
apcE	K02096	NA	NA	phycobilisome core-membrane linker protein	NA
apcF	K02097	NA	NA	phycobilisome core component	NA
cpcA	K02284	NA	NA	phycocyanin alpha chain	NA
cpcB	K02285	NA	NA	phycocyanin beta chain	NA
cpcC	K02286	NA	NA	phycocyanin-associated rod linker protein	NA
cpcD	K02287	NA	NA	phycocyanin-associated, rod	NA
cpcE	K02288	4.4.1.32	NA	phycocyanobilin lyase subunit alpha [EC:4.4.1.32]	NA
cpcF	K02289	4.4.1.32	NA	phycocyanobilin lyase subunit beta [EC:4.4.1.32]	NA
rpcG	K20713	4.4.1.33	NA	R-phycocyanin alpha-cysteine-84 phycourobilin lyase/isomerase [EC:4.4.1.33]	NA
cpcG	K02290	NA	NA	phycobilisome rod-core linker protein	NA
pecA	K02628	NA	NA	phycoerythrocyanin alpha chain	NA
pecB	K02629	NA	NA	phycoerythrocyanin beta chain	NA
pecC	K02630	NA	NA	phycoerythrocyanin-associated rod linker protein	NA
pecE	K02631	4.4.1.31	NA	phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecE [EC:4.4.1.31]	NA
pecF	K02632	4.4.1.31	NA	phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecF [EC:4.4.1.31]	NA
cpeA	K05376	NA	NA	phycoerythrin alpha chain	NA
cpeB	K05377	NA	NA	phycoerythrin beta chain	NA
cpeC	K05378	NA	NA	phycoerythrin-associated linker protein	NA
cpeD	K05379	NA	NA	phycoerythrin-associated linker protein	NA
cpeE	K05380	NA	NA	phycoerythrin-associated linker protein	NA
cpeR	K05381	NA	NA	phycoerythrin-associated linker protein	NA
cpeS	K05382	NA	NA	phycoerythrin-associated linker protein	NA
cpeT	K05383	NA	NA	CpeT protein	NA
cpeU	K05384	NA	NA	bilin biosynthesis protein	NA
cpeY	K05385	NA	NA	bilin biosynthesis protein	NA
cpeZ	K05386	NA	NA	bilin biosynthesis protein	NA
pcbA	K08918	NA	NA	chlorophyll a/b binding light-harvesting protein PcbA	NA
pcbB	K08919	NA	NA	chlorophyll a/b binding light-harvesting protein PcbB	NA
pcbC	K08920	NA	NA	chlorophyll a/b binding light-harvesting protein PcbC	NA
pcbD	K08921	NA	NA	chlorophyll a/b binding light-harvesting protein PcbD	NA
pcbE	K08922	NA	NA	chlorophyll a/b binding light-harvesting protein PcbE	NA
pcbF	K08923	NA	NA	chlorophyll a/b binding light-harvesting protein PcbF	NA
pcbG	K08924	NA	NA	chlorophyll a/b binding light-harvesting protein PcbG	NA
pcbH	K08925	NA	NA	chlorophyll a/b binding light-harvesting protein PcbH	NA
bchH	K03403	6.6.1.1	NA	magnesium chelatase subunit H [EC:6.6.1.1]	NA
bchM	K03428	2.1.1.11	NA	magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11]	NA
bchE	K04034	1.21.98.3	NA	anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [EC:1.21.98.3]	NA
