microtrait_hmm-dbxref_kegg	microtrait_hmm-dbxref_kegg_score	microtrait_hmm-dbxref_kegg_fscore	microtrait_hmm-dbxref_kegg_tpr	microtrait_hmm-dbxref_kegg_tnr	microtrait_hmm-dbxref_kegg_fpr	microtrait_hmm-dbxref_kegg_fnr	microtrait_hmm-dbxref_kegg_accuracy
K02027	227.7	0.675129	0.728551	1.000	4.51e-04	0.27145	0.99927
K02028	322.6	0.518386	0.877218	0.999	1.48e-03	0.122782	0.998404
K02029	207.7	0.690789	8.47e-01	0.999	9.26e-04	0.15343	0.99884
K02030	112.6	0.606640	7.63e-01	0.999	1.34e-03	0.23654	0.99824
K02036	301.2	0.989354	0.981098	1.000	1.39e-06	0.018902	0.999987
K02037	214.6	0.991534	0.986652	1.000	2.02e-06	0.013348	0.999990
K02038	234.7	0.982065	0.967940	1.000	1.89e-06	0.032060	0.999980
K02040	64.5	0.995702	0.992258	1.000	6.30e-07	0.00774	0.999993
K02041	335.2	0.763790	0.650636	1.000	1.21e-05	0.34936	0.999908
K02042	106.6	0.995673	0.991754	1.000	1.26e-07	0.00825	0.999997
K02044	113.3	0.966766	0.937603	1.000	6.30e-07	0.06240	0.999980
K02045	392.8	0.98447	0.9700	1.000	1.26e-07	0.0300	0.99999
K02046	272.0	0.999712	0.999425	1.000	0.00e+00	0.000575	1.000000
K02047	259.5	0.998275	0.996556	1.000	0.00e+00	0.003444	0.999999
K02048	88.6	0.876197	0.999603	1.000	8.94e-05	0.000397	0.999910
K02050	134.6	0.757714	0.980498	0.999	5.38e-04	0.019502	0.999445
K02051	135.4	0.710531	0.902088	0.999	5.30e-04	0.097912	0.999388
K02056	572.3	0.491360	0.590577	0.999	5.33e-04	0.409423	0.999200
K02057	204.3	0.592339	0.859831	0.999	1.15e-03	0.14017	0.9987
K02058	216.1	0.707794	0.726831	1.000	1.27e-04	0.27317	0.999767
K02062	334.0	0.733043	0.66856	1.000	1.73e-05	0.33144	0.999946
K02063	291.5	0.984841	0.97013	1.000	0.00e+00	0.02987	0.999996
K02064	162.1	1.000000	1.00000	1.000	0.00e+00	0.00000	1.000000
K02065	303.6	0.461264	0.86943	0.999	8.91e-04	0.130575	0.999048
K02066	28.4	0.999809	0.999809	1	1.26e-07	0.000191	1.000000
K02067	84.1	0.963083	0.969641	1.000	3.91e-05	0.030359	0.999934
K02071	450.4	0.785624	0.757160	1.000	8.77e-05	0.242840	0.999787
K02072	120.3	0.998275	0.997292	1.000	3.78e-07	0.002708	0.999998
K02073	62.9	0.998854	0.997710	1.000	0.00e+00	0.002290	0.999998
K02074	286.3	0.261956	0.220930	1.000	8.07e-05	0.779070	0.999784
K02075	262.4	0.750703	0.613115	1.000	3.90e-06	0.386885	0.999922
K02077	266.9	0.806254	0.696009	1.000	6.55e-06	0.303991	0.999928
K02083	469.4	0.913357	0.92000	1.000	9.82e-06	0.08000	0.999982
K02092	284.7	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02093	236.1	9.95e-01	0.9894	1	0.00e+00	0.0106	1.00e+00
K02094	132.4	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02095	224.4	9.79e-01	0.9596	1	0.00e+00	0.0404	1.00e+00
K02096	747.9	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02097	253.5	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02100	625.2	9.39e-01	0.88485	1.000	0.00e+00	0.11515	1.00e+00
K02106	77.9	0.998808	0.99881	1	1.26e-07	0.00119	1.000000
K02107	41.2	9.88e-01	0.97667	1.000	0.00e+00	0.02333	1.00e+00
K02108	51.1	0.999884	0.999769	1	0.00e+00	0.000231	1.000000
K02109	38.0	0.996675	0.993936	1	3.78e-07	0.00606	0.999996
K02110	50.0	0.99759	0.996567	1	7.56e-07	0.003433	1.00000
K02111	345.0	0.998981	0.998642	1.000	3.78e-07	0.001358	0.999999
K02112	280.3	0.997305	0.994625	1.000	0.00e+00	0.005375	0.999997
K02113	28.3	0.993628	0.997345	1	5.29e-06	0.002655	0.999993
K02114	21.3	1.000000	1.000000	1	0.00e+00	0.000000	1.000000
K02115	31.0	1.000000	1.000000	1	0.00e+00	0.000000	1.000000
K02117	377.9	1.000000	1.00000	1.000	0.00e+00	0.00000	1.000000
K02118	293.9	0.998821	0.99882	1.000	1.26e-07	0.00118	1.000000
K02119	80.7	1.000000	1.00000	1	0.00e+00	0.00000	1.00e+00
K02120	77.3	0.999407	1.00000	1	1.26e-07	0.00000	1.000000
K02121	50.9	0.996078	0.99608	1.000	3.78e-07	0.00392	1.00e+00
K02122	30.7	1.000000	1.00000	1	0.00e+00	0.00000	1.00e+00
K02160	96.8	0.952914	0.921108	1.000	5.79e-06	0.078892	0.999957
K02168	686.4	0.96392	0.9390	1	1.76e-06	0.061008	0.99999
K02172	309.7	9.28e-01	0.86522	1	0.00e+00	0.13478	1.0e+00
K02193	229.4	0.497868	0.656055	1.000	1.98e-04	0.343945	0.999733
K02194	53.7	0.996403	0.994019	1.000	2.52e-07	0.005981	0.999998
K02195	40.1	1.000000	1.000000	1	0.00e+00	0.000000	1.000000
K02196	22.3	0.998340	0.99917	1	3.78e-07	0.000831	0.999999
K02205	747.3	8.91e-01	0.8289	1.000	1.39e-06	0.17109	1.00e+00
K02236	221.6	0.548977	0.42642	1.000	9.57e-06	0.57358	1.00e+00
K02274	652.8	0.871233	0.844160	1.000	3.78e-05	0.155840	0.999899
K02275	192.0	0.903161	0.833333	1	4.91e-06	0.16667	0.999927
K02276	182.3	0.899786	0.841339	1	9.95e-06	0.158661	0.999935
K02278	81.7	0.919873	0.903111	1	8.56e-06	0.096889	0.999978
K02284	264.0	9.91e-01	0.98214	1	0.00e+00	0.01786	1.00e+00
K02285	284.3	9.91e-01	0.99107	1	1.26e-07	0.00893	1.00e+00
K02286	369.6	0.67808	0.8319	1	9.32e-06	0.1681	1.0e+00
K02287	118.9	7.41e-01	0.6667	1	1.26e-06	0.3333	1.00e+00
K02288	263.2	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02289	139.5	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02290	270.7	8.33e-01	0.97283	1	8.44e-06	0.02717	1.00e+00
K02291	160.7	0.855271	0.888064	1	3.84e-05	0.111936	0.999939
K02293	528.5	0.957627	0.91870	1.000	0.00e+00	0.08130	1.00e+00
K02297	318.5	0.987152	0.980851	1	1.13e-06	0.019149	0.999995
K02298	964.3	0.975522	0.95625	1	7.55e-07	0.043754	0.999991
K02299	253.7	0.955930	0.919366	1	7.55e-07	0.080634	0.999985
K02305	86.2	9.83e-01	0.96636	1.000	0.00e+00	0.0336	1.00e+00
K02386	48.4	1.000000	1.000000	1	0.00e+00	0.000000	1.000000
K02387	62.6	0.995568	0.99317	1.000	6.30e-07	0.006833	0.999997
K02388	87.6	0.989633	0.979479	1.000	0.00e+00	0.020521	0.999993
K02389	37.2	0.997807	0.997210	1	5.04e-07	0.002790	0.999999
K02390	292.7	0.952344	0.910688	1.000	6.30e-07	0.089312	0.999969
K02391	210.5	0.962204	0.949431	1.000	4.78e-06	0.050569	0.999985
K02392	228.3	0.900194	0.878836	1.000	2.93e-05	0.121164	0.999922
K02393	38.6	1.000000	1.00000	1	0.00e+00	0.00000	1.000000
K02394	48.6	1.000000	1.000000	1	0.00e+00	0.000000	1.000000
K02396	86.9	0.999401	0.999201	1.000	1.26e-07	0.000799	1.000000
K02397	147.3	0.954931	0.917189	1.000	1.13e-06	0.082811	0.999974
K02398	24.7	1.00000	1.000000	1	0.00e+00	0.00000	1.000000
K02399	35.5	0.999073	0.99815	1	0.00e+00	0.001852	1.000000
K02400	704.8	0.941881	0.893859	1	1.39e-06	0.106141	0.999963
K02401	348.5	0.959485	0.95769	1	1.17e-05	0.042306	0.999975
K02402	30.6	1.000000	1.00000	1	0.00e+00	0.00000	1.0e+00
K02403	19.6	0.998670	1.00000	1	2.52e-07	0.00000	1.00e+00
K02405	165.8	0.980625	0.962819	1.000	2.52e-07	0.037181	0.999989
K02406	140.5	0.979331	0.959936	1	2.52e-07	0.040064	0.999978
K02407	76.4	0.999777	0.999554	1	0.00e+00	0.000446	1.000000
K02408	29.9	1.000000	1.000000	1	0.00e+00	0.000000	1.000000
K02409	117.8	0.976010	0.95352	1	1.26e-07	0.04648	0.999985
K02410	42.1	0.999601	0.999203	1	0.00e+00	0.000797	1.000000
K02411	38.9	0.906876	0.993543	1	5.78e-05	0.006457	0.999940
K02412	478.1	0.857194	0.944857	1.000	8.36e-05	0.055143	0.999899
K02414	45.7	0.977419	0.98569	1	6.04e-06	0.01431	0.999991
K02416	95.3	0.976114	0.956558	1	1.01e-06	0.043442	0.999986
K02417	38.8	0.948654	0.941658	1	1.67e-05	0.05834	0.999961
K02418	21.6	0.992566	0.998206	1	2.77e-06	0.001794	1.00000
K02419	236.3	0.990075	0.990276	1	3.15e-06	0.009724	0.999994
K02420	88.7	0.949969	0.911611	1	2.39e-06	0.088389	0.999970
K02421	162.7	0.971006	0.975620	1	1.03e-05	0.024380	0.999982
K02424	275.5	0.941939	0.929366	1.000	9.95e-06	0.07063	0.999974
K02429	91.9	0.997938	0.997253	1.000	2.52e-07	0.00275	0.999999
K02440	160.1	0.994076	0.988929	1	2.52e-07	0.011071	0.999996
K02445	513.9	0.899767	0.81919	1.000	2.52e-07	0.180815	0.999973
K02446	442.8	0.917314	0.865054	1	4.16e-06	0.134946	0.999969
K02464	319.7	5.45e-01	0.49296	1.000	8.44e-06	0.50704	1.00e+00
K02506	173.1	8.44e-01	0.72996	1	0.00e+00	0.2700	1.00e+00
K02526	74.8	0.99921	1.00000	1	1.26e-07	0.00000	1.00e+00
K02532	160.9	0.996094	0.99222	1.000	0.00e+00	0.00778	1.00e+00
K02547	244.9	9.74e-01	0.949	1	0.00e+00	0.0513	1.00e+00
K02556	64.2	0.998766	0.997535	1.000	0.00e+00	0.002465	0.999999
K02557	143.4	0.949066	0.925211	1.000	1.25e-05	0.074789	0.999950
K02567	652.1	0.994839	0.99100	1.000	1.26e-07	0.00900	0.999999
K02568	21.2	0.998656	0.99866	1	1.26e-07	0.00134	1.00e+00
K02586	439.6	0.950000	0.95960	1	5.29e-06	0.04040	1.00e+00
K02588	359.4	0.962240	0.95850	1.000	3.27e-06	0.04150	1.00e+00
K02591	398.9	0.95120	0.96648	1	5.92e-06	0.03352	1.00e+00
K02598	237.4	0.993976	0.98802	1	0.00e+00	0.01198	1.00e+00
K02626	56.6	0.998833	0.99767	1	0.00e+00	0.00233	1.0e+00
K02628	320.8	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02629	348.3	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02630	493.7	9.57e-01	1.0000	1	1.26e-07	0.0000	1.00e+00
K02631	445.7	1.00e+00	1.0	1	0.00e+00	0.0	1.00e+00
K02632	221.6	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02634	384.3	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02635	244.9	9.13e-01	0.8406	1	0.00e+00	0.15942	1.00e+00
K02636	122.7	9.21e-01	0.87137	1.000	6.30e-07	0.12863	1.00e+00
K02637	108.5	1.00e+00	1.00000	1	0.00e+00	0.00000	1.0e+00
K02638	99.3	9.89e-01	0.9785	1	0.00e+00	0.0215	1.00e+00
K02639	106.5	0.989967	0.98013	1.000	0.00e+00	0.01987	0.999999
K02640	68.2	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02641	305.9	9.49e-01	0.90323	1.000	0.00e+00	0.09677	1.00e+00
K02642	32.0	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02643	42.0	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02654	65.9	0.783487	0.910626	1	1.27e-04	0.089374	0.999846
K02679	84.2	0.981481	0.97921	1.000	8.81e-07	0.02079	1.00e+00
K02680	90.6	0.993435	0.98911	1.000	1.26e-07	0.01089	1.00e+00
K02681	55.4	1.000000	1.0000	1.000	0.00e+00	0.00000	1.000000
K02682	159.6	0.984091	0.97523	1.000	3.78e-07	0.02477	1.00e+00
K02689	1394.1	1.00e+00	1.00000	1	0.00e+00	0.00000	1.00e+00
K02690	1373.0	9.96e-01	0.9917	1	0.00e+00	0.00833	1.00e+00
K02691	94.5	9.95e-01	0.99	1.000	0.00e+00	0.01	1.00e+00
K02692	120.8	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02693	90.1	1.00e+00	1.00000	1	0.00e+00	0.0000	1.00e+00
K02694	167.1	1.00e+00	1.00000	1	0.00e+00	0.00000	1.0e+00
K02696	42.3	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02697	53.4	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02698	57.9	1.00e+00	1.00000	1	0.00e+00	0.00000	1.00e+00
K02699	191.2	9.41e-01	0.91150	1	3.78e-07	0.08850	1.00e+00
K02700	38.0	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02702	39.3	1.00e+00	1.0000	1	0.00e+00	0.0000	1.0e+00
K02703	353.5	1.00e+00	1.0000	1	0.00e+00	0.00000	1.00e+00
K02704	327.8	1.00e+00	1.00000	1	0.00e+00	0.00000	1.0e+00
K02705	419.2	1.00e+00	1.00000	1	0.00e+00	0.00000	1.00e+00
K02706	325.5	1.00e+00	1.0000	1	0.00e+00	0.00000	1.00e+00
K02707	55.5	9.95e-01	0.9899	1	0.00e+00	0.0101	1.00e+00
K02708	55.3	1.00e+00	1.00000	1	0.00e+00	0.00000	1.0e+00
K02709	56.5	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02710	60.3	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02711	48.7	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02712	71.8	1.00e+00	1.0000	1	0.00e+00	0.0000	1.0e+00
K02713	70.9	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02714	58.5	9.88e-01	0.9759	1	0.00e+00	0.0241	1.00e+00
K02715	63.6	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02716	158.1	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02717	88.7	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02718	50.2	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02719	111.0	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02720	134.7	1.00e+00	1.00000	1	0.00e+00	0.00000	1.00e+00
K02722	48.9	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02723	20.6	9.62e-01	0.9565	1	3.78e-07	0.0435	1.00e+00
K02724	64.3	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K02744	131.3	0.864111	0.76860	1	6.30e-07	0.23140	1.00e+00
K02745	213.8	9.65e-01	0.94643	1	7.55e-07	0.05357	1.00e+00
K02746	282.1	9.91e-01	0.982	1	0.00e+00	0.01828	1.00e+00
K02747	327.5	9.80e-01	0.96658	1	2.52e-07	0.03342	1.0e+00
K02749	577.1	0.964218	0.9360	1.000	3.78e-07	0.06399	1.00e+00
K02750	572.4	0.977570	0.95788	1.000	1.26e-07	0.04212	1.00e+00
K02752	553.8	9.91e-01	0.9831	1.000	0.00e+00	0.01695	1.00e+00
K02753	802.7	9.89e-01	0.9788	1.000	0.00e+00	0.02119	1.00e+00
K02755	107.1	0.481089	0.7231	1.000	2.84e-04	0.2769	0.999655
K02756	611.4	0.902340	0.83778	1.000	4.16e-06	0.162225	0.999961
K02757	594.3	0.903581	0.85466	1.000	8.06e-06	0.145339	0.999960
K02759	34.7	0.943971	1.000000	1	3.56e-05	0.000000	1e+00
K02760	57.4	0.994520	0.993068	1	1.39e-06	0.006932	0.999996
K02761	53.2	0.961153	1.00000	1	3.56e-05	0.000000	0.999964
K02763	796.6	9.73e-01	0.947	1.000	0.00e+00	0.0526	1.00e+00
K02764	796.6	9.73e-01	0.947	1.000	0.00e+00	0.0526	1.00e+00
K02765	876.2	8.10e-02	1.0000	1.000	4.86e-05	0.0000	1.00e+00
K02768	129.5	0.681613	0.564607	1.000	3.72e-05	0.4354	0.999787
K02769	28.8	0.870080	0.978044	1	1.02e-04	0.0220	0.999889
K02770	276.5	0.913140	0.985344	1.000	6.39e-05	0.014656	0.999931
K02771	396.1	9.67e-01	0.9355	1	0.00e+00	0.0645	1.0e+00
K02773	107.6	0.858830	0.89686	1.000	2.15e-05	0.10314	0.999967
K02774	68.8	0.926119	0.99664	1.000	1.75e-05	0.00336	0.999982
K02775	448.2	0.940043	0.90984	1	3.15e-06	0.09016	0.999986
K02777	189.1	0.718967	0.674115	1.000	4.08e-05	0.3259	0.999893
K02778	92.5	0.82164	0.70870	1.000	1.64e-06	0.29130	1.00e+00
K02779	670.7	0.805263	0.67500	1.000	1.26e-07	0.32500	1.00e+00
K02781	48.9	1.000000	1.00000	1	0.00e+00	0.00000	1.0e+00
K02782	169.8	0.995595	0.99123	1	0.00e+00	0.00877	1.00e+00
K02783	143.2	0.996451	0.992927	1	0.00e+00	0.00707	0.999999
K02784	118.8	0.936648	0.9527	1.000	6.30e-06	0.04731	1.00e+00
K02786	134.5	9.93e-01	0.98577	1	0.00e+00	0.01423	1.00e+00
K02787	447.6	9.95e-01	0.98947	1.000	0.00e+00	0.01053	1.00e+00
K02788	388.6	9.95e-01	0.98947	1.000	0.00e+00	0.01053	1.00e+00
K02790	632.8	0.871357	0.82172	1.000	6.04e-06	0.17828	1.00e+00
K02791	626.5	0.886269	0.85428	1.000	6.93e-06	0.14572	1.00e+00
K02793	112.6	0.872087	0.851404	1	2.63e-05	0.1486	0.99994
K02794	46.6	0.776481	0.9746	1	1.22e-04	0.02543	0.999872
K02795	240.2	0.850442	0.822144	1	2.38e-05	0.17786	0.999938
K02796	287.5	0.814748	0.878474	1	5.41e-05	0.12153	0.999922
K02798	140.1	0.728042	0.872358	1.000	7.81e-05	0.1276	0.999903
K02799	45.6	0.98813	0.976530	1.000	0.00e+00	0.0235	1.00000
K02800	90.7	0.997473	0.996633	1	2.52e-07	0.00337	1.00000
K02802	123.3	0.309270	0.76782	1.000	1.98e-04	0.2322	1.00e+00
K02803	69.7	0.507290	0.875258	1.000	2.88e-04	0.12474	0.999689
K02804	635.2	0.876552	0.827016	1.000	1.10e-05	0.172984	0.999957
K02806	144.6	0.807091	0.68647	1.000	4.16e-06	0.313525	0.999907
K02808	696.9	9.07e-01	0.92533	1.000	5.41e-06	0.07467	1.00e+00
K02809	459.9	0.882353	0.94352	1.000	3.83e-05	0.05648	0.999951
K02810	576.8	0.818271	0.798589	1.000	3.01e-05	0.201411	0.999930
K02812	163.2	9.91e-01	0.98165	1	0.00e+00	0.01835	1.00e+00
K02813	261.4	9.91e-01	0.9821	1	0.00e+00	0.01786	1.00e+00
K02814	445.7	9.87e-01	0.9750	1	0.00e+00	0.02500	1.00e+00
K02815	476.9	1.00e+00	1.0000	1	0.00e+00	0.00000	1.00e+00
K02817	933.1	9.50e-01	0.90441	1.000	0.00e+00	0.09559	1.00e+00
K02818	570.4	0.974115	0.9495	1.000	0.00e+00	0.05046	0.999994
K02819	581.9	0.968153	0.93827	1.000	0.00e+00	0.06173	0.999992
K02821	79.6	0.850944	0.86089	1.000	3.59e-05	0.13911	0.999933
K02822	61.3	0.98435	0.9808	1.000	2.52e-06	0.0192	0.99999
K02824	411.5	0.991669	0.98404	1.000	1.26e-07	0.01596	0.999996
K02826	382.1	9.14e-01	0.84675	1.000	2.52e-07	0.1532	1.00e+00
K02827	978.4	0.926764	0.86352	1.000	0.00e+00	0.13648	1.00e+00
K02828	281.1	9.35e-01	0.87755	1.000	0.00e+00	0.12245	1.00e+00
K02856	61.9	0.998767	0.99754	1	0.00e+00	0.00246	1.00e+00
K03100	63.5	0.994064	0.98938	1	1.01e-06	0.010619	0.999990
K03101	23.6	0.99979	1.00000	1	2.52e-07	0.000000	1.000000
K03152	151.1	0.965489	0.939320	1.000	1.01e-06	0.060680	0.999990
K03162	72.0	1.00e+00	1.00000	1	0.00e+00	0.00000	1.00e+00
K03208	177.6	9.93e-01	0.99437	1.000	3.78e-07	0.00563	1.00e+00
K03282	28.9	0.998932	0.997866	1	0.00e+00	0.00213	0.999999
K03284	159.7	0.969353	0.952266	1	7.18e-06	0.047734	0.999965
K03287	351.3	8.89e-01	0.80	1.000	0.00e+00	0.20	1.00e+00
K03288	677.3	9.91e-01	0.98123	1.000	0.00e+00	0.01877	0.999999
K03289	673.2	9.80e-01	0.9607	1	0.00e+00	0.03930	1.00e+00
K03291	112.1	0.997944	1.0000	1.000	3.78e-07	0.00000	1.00e+00
K03292	366.6	0.878853	0.857973	1.000	2.25e-05	0.14203	0.999944
K03293	596.9	0.602800	0.47206	1.000	2.76e-05	0.52794	0.999818
K03294	284.8	0.948823	0.921779	1.000	1.05e-05	0.078221	0.999951
K03296	1070.4	0.305346	0.662545	1.000	4.64e-04	0.337455	0.999478
K03297	100.6	0.899381	0.928098	1.000	3.61e-05	0.07190	0.999945
K03298	164.1	0.88525	0.7941	1.000	0.00e+00	0.2059	1.00e+00
K03299	69.7	0.795306	0.998772	1	1.58e-04	0.001228	0.999842
K03300	105.6	0.975610	0.999057	1	6.55e-06	0.000943	0.999993
K03303	49.0	0.916684	1.00000	1	5.02e-05	0.000000	0.999950
K03304	178.8	0.99514	0.99033	1	0.00e+00	0.00967	1.00e+00
K03305	65.7	0.998221	0.998084	1	7.56e-07	0.001916	1.00000
K03307	300.8	0.700551	0.875036	1.000	2.74e-04	0.124964	0.999671
K03308	69.0	0.999821	1.000000	1	1.26e-07	0.000000	1.000000
K03310	36.2	0.987891	1.000000	1	1.32e-05	0.000000	0.999987
K03311	66.8	0.999799	0.999597	1	0.00e+00	0.000403	1.000000
K03313	33.6	1.000000	1.000000	1	0.00e+00	0.000000	1.000000
K03314	200.4	1.00000	1.00000	1	0.00e+00	0.00000	1.00e+00
K03315	120.7	0.990246	0.998643	1	3.40e-06	0.001357	0.999996
K03317	414.7	0.837061	0.79878	1	2.27e-05	0.20122	0.999936
K03318	759.6	8.75e-01	1.000	1	2.52e-07	0.000	1.00e+00
K03319	506.5	0.96204	0.92977	1	3.78e-07	0.07023	0.99999
K03320	38.7	0.997670	0.999788	1	2.65e-06	0.000212	0.999997
K03321	355.6	0.975804	0.959744	1.000	3.91e-06	0.040256	0.999975
K03322	59.4	1.000000	1.000000	1	0.00e+00	0.000000	1.000000
K03324	158.1	0.994140	0.988349	1.000	0.00e+00	0.01165	0.999997
K03325	67.7	0.996465	0.993492	1	1.26e-07	0.00651	0.999998
K03326	81.6	1.000000	1.00000	1	0.00e+00	0.00000	1.000000
K03329	279.9	0.993333	0.9868	1.000	0.00e+00	0.01325	1.000000
K03385	40.3	1.000000	1.00000	1	0.00e+00	0.00000	1.00e+00
K03386	199.2	0.871805	0.941255	1.000	1.23e-04	0.058745	0.999843
K03387	406.4	0.981942	0.96517	1.000	1.26e-07	0.03483	0.999993
K03388	509.6	0.89522	0.82390	1.000	1.01e-06	0.17610	0.99999
K03389	149.6	0.815642	0.95425	1.000	2.23e-05	0.04575	1.00e+00
K03390	99.6	0.953737	0.97810	1.000	3.78e-06	0.02190	1.00e+00
K03403	1048.9	0.994690	0.99645	1	2.52e-07	0.00355	1.00e+00
K03421	262.7	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K03422	80.0	1.00e+00	1.00000	1	0.00e+00	0.00000	1.00e+00
K03428	149.1	1.00e+00	1.00000	1.000	0.00e+00	0.00000	1.00e+00
K03432	129.6	0.990506	0.98894	1	6.30e-07	0.01106	1.00e+00
K03433	118.8	0.988704	0.99200	1	1.39e-06	0.00800	1.00e+00
K03442	196.4	0.621549	0.931883	1.000	2.84e-04	0.068117	0.999698
K03445	332.4	9.64e-01	0.9309	1.000	0.00e+00	0.06912	1.00e+00
K03446	333.2	0.972948	0.972645	1.000	1.08e-05	0.027355	0.999978
K03449	112.8	0.996943	0.993905	1.000	0.00e+00	0.006095	0.999998
K03457	195.1	0.94384	0.982180	1	2.38e-05	0.017820	0.99997
K03458	555.7	0.48028	0.52010	1.000	3.24e-05	0.47990	1.00e+00
K03459	477.1	9.54e-01	0.912	1	0.00e+00	0.0877	1.00e+00
K03468	48.1	1.00e+00	1.0000	1	0.00e+00	0.00000	1.00e+00
K03475	37.9	0.999723	0.999446	1	0.00e+00	0.000554	1.000000
K03498	50.3	0.999858	1.000000	1	1.26e-07	0.000000	1.000000
K03499	135.2	0.966787	0.954375	1.000	1.27e-05	0.045625	0.999958
K03503	102.7	0.956252	0.937026	1	3.78e-06	0.062974	0.999986
K03523	45.4	0.999218	0.999609	1	3.78e-07	0.000391	0.999999
K03532	415.4	0.867235	0.76559	1	0.00e+00	0.23441	1.00e+00
K03543	268.1	0.969534	0.966027	1.000	1.07e-05	0.033973	1.0000
K03544	273.9	0.996403	0.992832	1.000	0.00e+00	0.007168	0.999996
K03549	53.2	1.000000	1.000000	1	0.00e+00	0.000000	1.00000
K03559	24.2	0.82394	0.999590	1	2.62e-04	0.000410	0.999738
K03560	140.8	0.766200	0.841751	1.000	9.31e-05	0.158249	0.999866
K03561	50.1	0.82182	0.996677	1.000	2.60e-04	0.00332	0.999738
K03562	217.6	0.947529	0.905962	1.000	1.64e-06	0.094038	0.99997
K03568	277.8	0.994505	0.989418	1	1.26e-07	0.01058	0.999996
K03592	282.3	0.962338	0.930905	1	1.13e-06	0.069095	0.999978
K03605	100.8	0.945749	0.935897	1	6.80e-06	0.06410	0.999983
K03606	317.5	0.923664	0.97091	1	1.65e-05	0.02909	0.999980
K03612	94.6	0.987952	0.98754	1	1.76e-06	0.012458	0.999996
K03613	214.9	0.962343	0.93193	1	7.55e-07	0.06807	0.999989
K03614	269.5	0.974507	0.957189	1	1.13e-06	0.042811	0.999992
K03615	110.2	0.998304	0.996613	1.000	0.00e+00	0.00339	0.999999
K03616	87.5	0.973621	0.975962	1.000	6.04e-06	0.024038	0.999989
K03617	223.6	0.962526	0.94074	1	2.14e-06	0.059259	0.999989
K03643	22.1	0.998529	0.998823	1	3.78e-07	0.00118	0.999999
K03667	273.6	0.999631	0.999262	1.000	0.00e+00	0.000738	1.000000
K03686	309.8	0.945933	0.906267	1.000	6.80e-06	0.093733	0.999929
K03687	32.8	0.999677	0.999785	1	2.52e-07	0.000215	1.000000
K03689	47.8	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K03694	879.0	0.968494	0.945708	1.000	1.76e-06	0.054292	0.999985
K03695	1140.3	0.972952	0.953819	1.000	3.40e-06	0.046181	0.999974
K03696	1113.5	0.878920	0.795190	1.000	4.79e-06	0.204810	0.999927
K03697	980.1	0.976017	0.95316	1.000	0.00e+00	0.04684	1.00e+00
K03704	25.5	0.999099	9.99e-01	1	7.57e-07	0.001309	1.00000
K03705	59.2	1.000000	1.000000	1	0.00e+00	0.000000	1.000000
K03737	282.0	0.998847	0.997696	1.000	0.00e+00	0.002304	1.000000
K03739	223.5	0.995938	0.99191	1	0.00e+00	0.00809	1.00e+00
K03741	119.8	0.912250	0.901675	1.000	2.20e-05	0.09833	0.999949
K03756	425.3	1.00e+00	1.0000	1.000	0.00e+00	0.00000	1.00e+00
K03757	606.8	9.98e-01	0.9963	1.000	0.00e+00	0.00375	1.00e+00
K03758	315.3	0.990649	0.984321	1.000	6.30e-07	0.015679	0.999996
K03759	526.4	9.80e-01	0.964	1.000	1.26e-07	0.03629	1.00e+00
K03761	432.4	0.959740	0.956634	1.000	7.18e-06	0.043366	0.999984
